,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,dddddddddddddddddddddddddd,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg133034,arg132614,arg133034_arg132614,rr,0a82d2f36cda00b9f5e97c580752ac,1
1,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",ITS 20/64,a1,arg132614,arg133989,arg132614_arg133989,rr,160bdea33fc0de01bc7240ac29693d,-1
2,answer,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg134908,arg132614,arg134908_arg132614,rr,47bcc3f28dd94412885583182b09a0,1
3,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",yo i understand but this bitttt do not wanna do it,a1,arg132614,arg135327,arg132614_arg135327,wr,1c50098a7e064131283236308ce026,-1
4,who knows,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg135508,arg132614,arg135508_arg132614,rr,dd1b4189a8ac774a3a58a6ffd278d1,1
5,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",Kkkkkkkk,a1,arg132614,arg135811,arg132614_arg135811,rr,14899b064827f55df8c48614f4274f,-1
6,makes sense,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg136259,arg132614,arg136259_arg132614,wr,d5e869d27e6619d0c52c27cdb10cf3,1
7,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",Because,a1,arg132614,arg136586,arg132614_arg136586,rr,e969de6f57d3ccca6cfb4d0560708d,-1
8,"jbk,.bgyfh","A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg136653,arg132614,arg136653_arg132614,rr,3f8c6489c0aa8afc2efe365be73175,1
9,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",ddddon,a1,arg132614,arg137789,arg132614_arg137789,wr,597058d51ca6804a9eeba65f985050,-1
10,not sure,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg138531,arg132614,arg138531_arg132614,rr,be4ae640739623ecce5aa492a2e8e1,1
11,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",not really sure,a1,arg132614,arg138988,arg132614_arg138988,wr,c11828d46b53cbf827f3a1903a57ce,-1
12,Math,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg141931,arg132614,arg141931_arg132614,rr,f0f2a852594992556acd3f8df9f8c0,1
13,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",because that is the right answer for this question in genetics,a1,arg132614,arg192303,arg132614_arg192303,wr,41c79593ffb7857a7ac3a97563285b,-1
14,"The following pedigree shows the inheritance of a blood condition. If the woman II-2 (first woman in second generation) was to marry her cousin II-8 (last male in second generation), what is the probability of their first child having the blood condition?","A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg194269,arg132614,arg194269_arg132614,rr,dccab1f02141795634c10bbdc7ba59,1
15,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",you need to do 3/4 x 3/4 x 3/4 since there is a 3/4 chance of getting the dominant phenotype in each case.,a1,arg132614,arg195014,arg132614_arg195014,rr,e36459c889ec8ce820903ab849be5b,-1
16,A large portion is likely going to be as tall as the parents because they are heterozygous.,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg195532,arg132614,arg195532_arg132614,rr,cbb9fa693c1e4428d91dc12815d88f,1
17,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",This would require using both product and sum rule since the cross consists of 3 genes.,a1,arg132614,arg196787,arg132614_arg196787,rr,8b2792c7600643e583c76f2796f7e5,-1
18,"To be as tall as the parents, the progeny need to have the Aa Bb Cc genotype.","A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg197679,arg132614,arg197679_arg132614,rr,cc7c4a9e7355ec3ed89d427e1acd92,1
19,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",THe probability of F1 progeny to have three or more doses of dominant allele is 27/64,a1,arg132614,arg198783,arg132614_arg198783,rr,cca18bdbf60e3930d472d5e3975feb,-1
20,I do not know..... I think you may treat each as independent monocrosses but then I'm not sure how to add,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg198871,arg132614,arg198871_arg132614,rr,e0d6dbfc15685e9555f5bf06898651,1
21,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.","Once we find how many will be tall through the product rule.  We simply do 1- that number because that will represent the remaining population, indicating how many are shorter",a1,arg132614,arg199419,arg132614_arg199419,rr,c56d64a5d668aa1e9c248f128a8c52,-1
22,I like my answer I will stick with my answer.,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg201044,arg132614,arg201044_arg132614,rr,e269d62d6994ccca7aff6fcde30e58,1
23,"A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",According to the lecture notes the answer that I have provided is what I'm going with.,a1,arg132614,arg205974,arg132614_arg205974,rr,69226f0b06fd8222b03f9261e554f0,-1
24,"i dont knowww im guesssssing 
im assuming for the plants to be short, they must at least have one homozygous recessive pair.
for the plant to be taller than the parents, all genotypes must be either hetero zygous dom or homo dominant","A_b_c = 3 *3/64 = 9/64 short. A_B_c = 3/4*3/4 *1/4*3 = 27/64. a_b_c_ = 1/64. Add all, 37/64 short.",a2,arg208120,arg132614,arg208120_arg132614,wr,59353ae11368a9a11d9762a45010aa,1
