,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"A son will only inherit his mother's X chromosome, reflecting any mutations she may have on it","The X chromosome of a son will always be from the mother, therefore if he inherits an X-linked disease he will show it and by analyzing the phenotype of the mother, you will know if she is homozygous normal or heterozygous.",a2,arg75061,arg75045,arg75061_arg75045,rr,51c8aa81265b76c2eafafaddf7f0f1,1
1,"The X chromosome of a son will always be from the mother, therefore if he inherits an X-linked disease he will show it and by analyzing the phenotype of the mother, you will know if she is homozygous normal or heterozygous.","while the phenotype of the daughters may not always reflect the genotype of the father, the phenotype of the son reflects the genotype of the mother ",a1,arg75045,arg78938,arg75045_arg78938,rr,20c5547f9555f5a4a978a54045258f,-1
2,"The son can only get one X chromosome, and it comes from the mother. Therefore the son’s phenotype reflects the genotype of the mother ","The X chromosome of a son will always be from the mother, therefore if he inherits an X-linked disease he will show it and by analyzing the phenotype of the mother, you will know if she is homozygous normal or heterozygous.",a2,arg79101,arg75045,arg79101_arg75045,rr,8802245ba48176f94d3f163c97d717,1
3,"The X chromosome of a son will always be from the mother, therefore if he inherits an X-linked disease he will show it and by analyzing the phenotype of the mother, you will know if she is homozygous normal or heterozygous.","The phenotype of sons for the X chromosome is entirely determined by the mother's génotype whereas the daughter's is half the mother and half the father. And also, the phenotype of the sons is not the phenotype of the mother b/c the mother has 2 X chromosomes whereas the son can only express from one and so expresses different phénotypes often.",a1,arg75045,arg80156,arg75045_arg80156,rr,83298ffad1d5c1507c9d8cc4371e8a,-1
4,"Since the father only gives his Y chromosome, so the son's X chromosomes has to come from his mother.","The X chromosome of a son will always be from the mother, therefore if he inherits an X-linked disease he will show it and by analyzing the phenotype of the mother, you will know if she is homozygous normal or heterozygous.",a2,arg80998,arg75045,arg80998_arg75045,rr,54b602f8b6cbd39d1d6e2ec8f5b893,1
5,"The X chromosome of a son will always be from the mother, therefore if he inherits an X-linked disease he will show it and by analyzing the phenotype of the mother, you will know if she is homozygous normal or heterozygous.",The only X the son receives is from the mother as it receives a Y chromosome from the father,a1,arg75045,arg83186,arg75045_arg83186,rr,092fab0fe87f26bc2b1a93552ea75c,-1
6,"son gets one x chromosome from mom and one y chromosome from dad
","Because sons get their only X from their mother, their phenotype will be that of the mother's genotype. 

Daughters inherit one X from each parent, so their genotype is more variable. ",a2,arg79809,arg74952,arg79809_arg74952,rr,3833d34efac4d96ebc009507f78f02,1
7,"Because sons get their only X from their mother, their phenotype will be that of the mother's genotype. 

Daughters inherit one X from each parent, so their genotype is more variable. ","the mom doesn't need to be affected, but she gives the son an X-chromosome",a1,arg74952,arg90064,arg74952_arg90064,rr,2d622cf72648bca831a62b29d9a7ad,-1
8,the mother give the only X the son will have,"Because sons get their only X from their mother, their phenotype will be that of the mother's genotype. 

Daughters inherit one X from each parent, so their genotype is more variable. ",a2,arg91637,arg74952,arg91637_arg74952,rr,3f723e391f6fc48fb0c52046239973,1
9,"Because sons get their only X from their mother, their phenotype will be that of the mother's genotype. 

Daughters inherit one X from each parent, so their genotype is more variable. ","Sons inherit their X chromosome from their mothers, thus they reflect the mother's phenotype. ",a1,arg74952,arg97845,arg74952_arg97845,rr,f42e3beb6d79465220551491ce334b,-1
