,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,half the recombinants,1/2 of map units apart = % recombinant progeny,a2,arg127897,arg72429,arg127897_arg72429,ww,dd1b4189a8ac774a3a58a6ffd278d1,1
1,1/2 of map units apart = % recombinant progeny,mnyujhghjk,a1,arg72429,arg127979,arg72429_arg127979,ww,b2dc02b7b0620f746fd7977a3e3e63,-1
2,Half,1/2 of map units apart = % recombinant progeny,a2,arg129534,arg72429,arg129534_arg72429,ww,268002bfc7fcb28d6bdc37f9256674,1
3,1/2 of map units apart = % recombinant progeny,60/2,a1,arg72429,arg136322,arg72429_arg136322,ww,d709f71cb4f0a254ee0d56af55a832,-1
4,kjnkjn,1/2 of map units apart = % recombinant progeny,a2,arg136352,arg72429,arg136352_arg72429,ww,d22b2724721ba0da929fb42ad2e456,1
5,1/2 of map units apart = % recombinant progeny,because,a1,arg72429,arg136522,arg72429_arg136522,ww,e969de6f57d3ccca6cfb4d0560708d,-1
6,"There are two possible recombination phenotypes, so dividing 60 by 2 gives 30, so there is a 30% chance","Half of the recombinant will be this one. However, the genes are separated by a far map distance of greater than 50. so the genes will act as though they are unlinked and you will have 25, 25, 25, and 25.",a2,arg205314,arg135620,arg205314_arg135620,wr,8cf65480352acbf71f20638a76cb5c,1
7,"Half of the recombinant will be this one. However, the genes are separated by a far map distance of greater than 50. so the genes will act as though they are unlinked and you will have 25, 25, 25, and 25.",The genotype of the progeny is recombinant so 1/2 of the recombination frequency will be the probability.,a1,arg135620,arg205439,arg135620_arg205439,wr,f4b2c81c953e83ef891a28f0ffa6c7,-1
8,"In humans, the ABO blood group gene and the gene for the autosomal dominant condition Nail-Patella Syndrome are known to be approximately 12 cM apart. A woman whose family has been extensively studied is known to be N A/n O. Her husband is n O/n O. What is the probability that their first child will have Nail-Patella Syndrome and type O blood","Half of the recombinant will be this one. However, the genes are separated by a far map distance of greater than 50. so the genes will act as though they are unlinked and you will have 25, 25, 25, and 25.",a2,arg205704,arg135620,arg205704_arg135620,wr,b7df7271f31c316697bac696957a39,1
9,"Half of the recombinant will be this one. However, the genes are separated by a far map distance of greater than 50. so the genes will act as though they are unlinked and you will have 25, 25, 25, and 25.",Both possible recombinant genotypes are Lm/lm and lM/lm and 1/2 is the desired genotype,a1,arg135620,arg206592,arg135620_arg206592,wr,c5147c1b67c49927d6b7ef44c8749e,-1
