,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,Offspring Characteristics are inherited from Parental,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg69512,arg68646,arg69512_arg68646,ww,710f05a894e40d30408e624d812a4b,1
1,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",He experimented with flowers with the belief that they would produce an intermediate phenotype. This was what drove him to discoure the principles of inheritance.,a1,arg68646,arg72996,arg68646_arg72996,ww,83298ffad1d5c1507c9d8cc4371e8a,-1
2,mendel saw that the offspring received traits from their parents but sometimes would not ,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg74060,arg68646,arg74060_arg68646,ww,0afa302600bf72169f66c146a163ce,1
3,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",offspring inherit hereditary material from their parents ,a1,arg68646,arg74196,arg68646_arg74196,ww,3f8c6489c0aa8afc2efe365be73175,-1
4,He believed that the hereditary characteristics of two individual will mix but the actual experiment have shown that dominance exists.,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg75069,arg68646,arg75069_arg68646,ww,91b81abeeb3dd5b4f163738528596a,1
5,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",He had to mate individuals and observe how their characters appeared in the offspring,a1,arg68646,arg79257,arg68646_arg79257,ww,87d12d8bf0b77679a64968d62c01a7,-1
6,"Well, he studied specific characteristics of offsprings over and over and marked the difference of every single one, hence coming up with the ratio","He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg99599,arg68646,arg99599_arg68646,rw,d5e869d27e6619d0c52c27cdb10cf3,1
7,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",He looked at independently assorted genes only.,a1,arg68646,arg100930,arg68646_arg100930,rw,23f29ffe21d2a8102e862253c7e4b9,-1
8,because he observed it,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg104467,arg68646,arg104467_arg68646,ww,135752e81467d35ae2e545486c582c,1
9,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",bcs of the peas thingy,a1,arg68646,arg105254,arg68646_arg105254,ww,9ff916b24a214164ad7838787f7eb5,-1
10,"Mendel did not carry out a genetic dissection. He was not interested in the properties of peas, but in the hereditary units that influenced the properties inherited from generation to generation.","He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg184883,arg68646,arg184883_arg68646,ww,ebbded91482f82f435149a14858a14,1
11,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance","He did not take into account continuous variables such as height, but only based his experiments on contrasting traits to really understand the principles of inheritance. It was more simple.",a1,arg68646,arg186379,arg68646_arg186379,rw,cc7c4a9e7355ec3ed89d427e1acd92,-1
12,Mendel deduced that genes were inherited as distinct units from each parent,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg186691,arg68646,arg186691_arg68646,ww,2550db4eafb3efc9fdbbf17f53c876,1
13,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",alleles are passed to offsprings and the genotypes determine the phenotypes,a1,arg68646,arg186967,arg68646_arg186967,ww,7d74aafc6f4143740a99ce570485df,-1
14,He observed many characteristics in different generations and compared how their hereditary characteristics varied.,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg193715,arg68646,arg193715_arg68646,ww,a93ead596d3e93cc7c3baf70527825,1
15,"He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",The Peas were different by how they were wrinkled and by what color they were.,a1,arg68646,arg197080,arg68646_arg197080,rw,b93711b35b726dcfdfeaba42e60aa2,-1
16,"Mendel crossed pea plants to find patterns in their offspring, which led to the discovery of inheritance","He believed the traits would blend, but when he made experiment he discovered inheritance does not work like that, and by observing offsprings he discovered the principles of inheritance",a2,arg205868,arg68646,arg205868_arg68646,ww,4522f3c6892e3959dd4824bfb7f075,1
