,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"Parental homozygous, heterozygous F1","8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg136830,arg136773,arg136830_arg136773,rr,f5e4fff3a4a9605b12629bf4cac95f,1
1,"8 percent fequnecy when it should be 25, inversion suppresses recombination",inversion lead to decreased recombination frequency,a1,arg136773,arg136963,arg136773_arg136963,rr,ee7b40f08ecc3e6ceca31a6f6b2a5d,-1
2,jhvv jvjgv,"8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg138167,arg136773,arg138167_arg136773,wr,9b9df66d78b43b11ee5b39b8765248,1
3,"8 percent fequnecy when it should be 25, inversion suppresses recombination",ztdxfycguvh,a1,arg136773,arg138221,arg136773_arg138221,wr,5310bc639057f5c2c7aa6316574c07,-1
4,not sure,"8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg139013,arg136773,arg139013_arg136773,rr,df6f9c7a7cbb9863c5fa0349af930c,1
5,"8 percent fequnecy when it should be 25, inversion suppresses recombination",icwnfoidnew,a1,arg136773,arg139531,arg136773_arg139531,rr,3e179fba728baed8c01e997ac36184,-1
6,jhnlknklnl,"8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg140140,arg136773,arg140140_arg136773,wr,42ea2f31099cfd1dd172a20c84f760,1
7,"8 percent fequnecy when it should be 25, inversion suppresses recombination",njan kjn.,a1,arg136773,arg140803,arg136773_arg140803,wr,005762fb8b37afea2793f142f145ac,-1
8,???? Idk,"8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg140842,arg136773,arg140842_arg136773,rr,9008d1eb1761199bc25f860bd6042e,1
9,"8 percent fequnecy when it should be 25, inversion suppresses recombination",after 15 mu there must be mutation,a1,arg136773,arg140857,arg136773_arg140857,rr,825211c8efc74825daf62ea343070c,-1
10,cross,"8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg141062,arg136773,arg141062_arg136773,rr,5967a43ad707a2c87874c36e15ceca,1
11,"8 percent fequnecy when it should be 25, inversion suppresses recombination",I have no idea,a1,arg136773,arg141257,arg136773_arg141257,rr,0bb1b73bf390a7f789aa2b784a5f47,-1
12,not sdure,"8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg141844,arg136773,arg141844_arg136773,wr,b3ad7b3042256380fffbbd3afd1f01,1
13,"8 percent fequnecy when it should be 25, inversion suppresses recombination",no recombination,a1,arg136773,arg142316,arg136773_arg142316,wr,c0724b1944d3753aed170807da9f1f,-1
14,I just wanna see the next question,"8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg142363,arg136773,arg142363_arg136773,wr,a81ba66220ab681d3d479ce8190c53,1
15,"8 percent fequnecy when it should be 25, inversion suppresses recombination",i honestly don't really understand how to solve this question,a1,arg136773,arg226055,arg136773_arg226055,rr,f7c0eb70420f32fa400aa3b3a617fb,-1
16,by simply analyzing the graph and having the slightest bit of intelligence it seems that this is a reasonable answer dawg.,"8 percent fequnecy when it should be 25, inversion suppresses recombination",a2,arg226332,arg136773,arg226332_arg136773,wr,e269d62d6994ccca7aff6fcde30e58,1
17,"8 percent fequnecy when it should be 25, inversion suppresses recombination","I'm not too sure about this, is this not a case of recombination and that is how the progeny appear in the given frequencies?",a1,arg136773,arg229504,arg136773_arg229504,rr,d39d466679b501c793e600814de177,-1
18,hhjhbbhjkj,Heterozygous inversion decreases the RF by the same distance it covers.,a2,arg136944,arg136939,arg136944_arg136939,ww,b2dc02b7b0620f746fd7977a3e3e63,1
19,Heterozygous inversion decreases the RF by the same distance it covers.,jgiofujewiufhrw,a1,arg136939,arg137012,arg136939_arg137012,ww,3f8c6489c0aa8afc2efe365be73175,-1
20,answer,Heterozygous inversion decreases the RF by the same distance it covers.,a2,arg137088,arg136939,arg137088_arg136939,ww,1ecf0b821c364abdbd7b417b940022,1
