,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"Since this attribute is on chromosome 4, it would be on this marker. It is linked too so not much variation would occur.","SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",a2,arg214551,arg209392,arg214551_arg209392,wr,32cc4976517d556e4bd21531dbde83,1
1,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",idk idk idk what is this where did markers come in?????,a1,arg209392,arg216045,arg209392_arg216045,wr,4b14815b53d9ba671f68bde522f788,-1
2,see the following data in which the marker symbol represents the origin of the SNP allele? where,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",a2,arg220041,arg209392,arg220041_arg209392,wr,0674751acab1b3c6ce09ea354902f9,1
3,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",You are studying the inheritance of bristle number in fruit flies using inbred lines from Hawaii (HI) and California (CA). HI fruit flies have fewer bristles than CA flies. You have identified 4 segregating SNPs in the,a1,arg209392,arg220298,arg209392_arg220298,rr,11f1a8875488de92d068d9568ca86d,-1
4,This marker often favours Ca/Ca and this also has the biggest difference between all the genotypes,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",a2,arg220453,arg209392,arg220453_arg209392,rr,fbc0e44f7a13d74f6016c9b1877f27,1
5,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",SNP1 has the greatest variation between crosses indicating locus at marker 1 has a QTL,a1,arg209392,arg224876,arg209392_arg224876,rr,c5147c1b67c49927d6b7ef44c8749e,-1
6,At this marker it shows the CA flies declining indicating an SNP,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",a2,arg228934,arg209392,arg228934_arg209392,wr,230acc8039bba8b70b977c31312c95,1
7,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",Is this question missing data? Im not seeing the following data so not sure if Im able to answer like that?,a1,arg209392,arg230061,arg209392_arg230061,wr,dcc4147a5c461bb23c8f37dfd85e77,-1
8,Suppose the L and M genes are on the same chromosome but separated by 60 map units. What fraction of the progeny from the cross LM/lm x lm/lm would be Lm/lm?,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",a2,arg230587,arg209392,arg230587_arg209392,wr,44b7f6ba94b4f09a40694355bfbe4f,1
9,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.","I have no idea, I don't see any following data! so I can tanswer this question. screw this question",a1,arg209392,arg233099,arg209392_arg233099,wr,c2846914e3ca3e2575937468b3790b,-1
10,Marker 1 has the highest number of bristles for HI/CA which means that it is the marker most aligned with bristle number,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",a2,arg233925,arg209392,arg233925_arg209392,rr,bf82d348d6679b0496a6234f127ba7,1
11,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",Literally no infromation on what marker does what so how am i supposed to know,a1,arg209392,arg238283,arg209392_arg238283,wr,6cb51fff1a6525f52bf84f7d450d02,-1
12,gregating SNPs in the F2 obtained from intercrossing F1s of these li,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",a2,arg238793,arg209392,arg238793_arg209392,wr,e6af635199f67611deee6e0ab05981,1
13,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",im not sure im assuming because there is a larger change in the number of bristles that this SNP has an effect on the bristle amount gene,a1,arg209392,arg239076,arg209392_arg239076,rr,70df4d183d31aed459d8e9b0c489cc,-1
14,there is no data given in this question??? but yet I must write more to satisfy this thing,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",a2,arg240101,arg209392,arg240101_arg209392,rr,754a94af492f5a2a02564805a0c5eb,1
15,"SNP1 - It is only with SNP1 that the distinction in bristle number is strongly pronounced within and between genotypes, suggesting it is nearest the QTL.",most variation in this one so it is most likely the linked one,a1,arg209392,arg243681,arg209392_arg243681,rr,63cfe7cedfd65323fd90d9cb2cf04b,-1
