,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"These two values must be multiplied together, since the proportion we want to see is heterozygotes, both must be present.",The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,a2,arg210134,arg209232,arg210134_arg209232,wr,32cc4976517d556e4bd21531dbde83,1
1,The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,"Population genetics is the study of genetic variation within populations, and involves the examination and modelling of changes in the frequencies of genes and alleles in populations over space and time",a1,arg209232,arg213070,arg209232_arg213070,rr,f0d5d7cc1bb3645de472a5aa1cb5d4,-1
2,Because it is in hardy-weinberg standards then the allele frequency must be the same in the next generation. This means that 2xpxq is the proportion of heterozygotes = 0.48,The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,a2,arg214147,arg209232,arg214147_arg209232,rr,5d5c9eeee8f714934b249eebfabd8b,1
3,The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,"Freq(Aa) = 2pq = 0.48.
I don't think the first sentence has much to do with the rest of the problem.",a1,arg209232,arg216567,arg209232_arg216567,rr,ca13f590568c5963f3090275902099,-1
4,"To calculate the proportion of heterozygotes in the next generation, you use the Hardy-Weinberg equation p^2+2pq+q^2=1, where 2pq is the proportion of heterozygotes.",The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,a2,arg221600,arg209232,arg221600_arg209232,rr,eff6862842ac615ec965161eecf4bf,1
5,The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,i dont know. i just want to know the answers according to the punnet square method,a1,arg209232,arg233398,arg209232_arg233398,rr,66a042ade2b69f5648f66599e28e33,-1
6,"2pq is the frequency of heterozygotes
2pq is the frequency of heterozygotes
2pq is the frequency of heterozygotes
2pq is the frequency of heterozygotes
2pq is the frequency of heterozygotes",The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,a2,arg238843,arg209232,arg238843_arg209232,rr,c2846914e3ca3e2575937468b3790b,1
7,The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,"at HW, freq(Aa) in the next gen is 2pq = 2*0.6*0.4=0.48",a1,arg209232,arg243259,arg209232_arg243259,rr,63cfe7cedfd65323fd90d9cb2cf04b,-1
8,"p^2 + 2pq + q^2 = 1
(2)(0.6)(0.4) = 0.48 proportion of heterozygotes do you expect to see in the next generation",The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,a2,arg245855,arg209232,arg245855_arg209232,rr,0e0eb905e3ad75dbe188d0fe0e6fb2,1
9,The proportion of heterozygotes when a population is in Hardy-Weinberg is calculated by 2pq.,heterozygous is 2pq so id 0.4*0.6*2= 0.48 depth depth depth depth,a1,arg209232,arg246823,arg209232_arg246823,rr,d1f0930d280b954c8be1683bc330ba,-1
10,"Hetrozygozous (Aa)= 2pq= 2(0.4)(0.6)= 0.48
Therefore the answer is A but  i need more depth so here you go","Hardy weinberg ratio concluded that there will be 2pq heterozygotes in an equilibrium population, so 2(.6)(.4)=.48",a2,arg212214,arg210224,arg212214_arg210224,rr,fbc0e44f7a13d74f6016c9b1877f27,1
11,"Hardy weinberg ratio concluded that there will be 2pq heterozygotes in an equilibrium population, so 2(.6)(.4)=.48","using the HW formula, =2pq, you get 0.48 for the proportions of the next generation",a1,arg210224,arg212220,arg210224_arg212220,rr,1a77d13663dc9cec4c5551b950d439,-1
12,"2pq=2(0.6)(0.4)=0.48 
To find the proportion of heterozygotes, we simply multiply the allele frequencies of the dominant and recessive allele and multiply the answer by 2.","Hardy weinberg ratio concluded that there will be 2pq heterozygotes in an equilibrium population, so 2(.6)(.4)=.48",a2,arg216357,arg210224,arg216357_arg210224,rr,b93788079b11828db3f660965f6274,1
13,"Hardy weinberg ratio concluded that there will be 2pq heterozygotes in an equilibrium population, so 2(.6)(.4)=.48","2pq, hardy weinberg proportion equation yields this result of 0.48",a1,arg210224,arg221055,arg210224_arg221055,rr,230acc8039bba8b70b977c31312c95,-1
14,Self-fertilization is irrelevant. This is p^2 + 2pq + q^2,"Hardy weinberg ratio concluded that there will be 2pq heterozygotes in an equilibrium population, so 2(.6)(.4)=.48",a2,arg221517,arg210224,arg221517_arg210224,rr,4c5b69f81935e72eab927acc9968b8,1
15,"Hardy weinberg ratio concluded that there will be 2pq heterozygotes in an equilibrium population, so 2(.6)(.4)=.48",and that the population is in Hardy-Weinberg proportions for the diploid genotypes at this,a1,arg210224,arg222366,arg210224_arg222366,rr,72c895b304c0a6e1c658df40cea1e5,-1
