,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,that one soooooooo,The charge of ammonium is one while phosphate is three. Three ammonium ions are necessary and each one contains one atom of nitrogen.,a2,arg10563,arg9512,arg10563_arg9512,wr,umUt1A-Ff04WN7qu-AXDXw++,1
1,The charge of ammonium is one while phosphate is three. Three ammonium ions are necessary and each one contains one atom of nitrogen.,"Sulfate is a dianion, therefore there will be two ammoniums, therefore there will be two nitrogens!",a1,arg9512,arg10649,arg9512_arg10649,wr,C_W6zRXnnaWSoNfflzKCXA++,-1
2,"Calcium has a 2+ charge, while nitrate has a -1 charge; therefore, this compound has the most nitrogen atoms per molecule. ",The charge of ammonium is one while phosphate is three. Three ammonium ions are necessary and each one contains one atom of nitrogen.,a2,arg10650,arg9512,arg10650_arg9512,wr,mpatrascu,1
3,The charge of ammonium is one while phosphate is three. Three ammonium ions are necessary and each one contains one atom of nitrogen.,"NaNO3 only has one
(NH4)2SO4  only has 2 
Ca(NO3)2 only has 2
and (NH4)3PO4 has 3 
this is found because of the charges
",a1,arg9512,arg18945,arg9512_arg18945,rr,80172,-1
4,"(NH4)3 * PO4

3 atoms",The charge of ammonium is one while phosphate is three. Three ammonium ions are necessary and each one contains one atom of nitrogen.,a2,arg18991,arg9512,arg18991_arg9512,rr,68997,1
5,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,"When writing the chemical formula of each molecules, ammonium phosphate has the most amount of Nitrogen with a total of 3.",a1,arg18748,arg18785,arg18748_arg18785,rr,71339,-1
6,"
(NH4)3Po4 has 3 nitrogens",The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg18879,arg18748,arg18879_arg18748,rr,84182,1
7,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,(NH4)3PO4,a1,arg18748,arg19076,arg18748_arg19076,rr,83965,-1
8,it contains 2 atoms ,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg19114,arg18748,arg19114_arg18748,wr,84180,1
9,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,"NaNO3
(NH4)2SO4
Ca(NO3)2
(NH4)3PO4

",a1,arg18748,arg19236,arg18748_arg19236,rr,84184,-1
10,"the chemical formula for ammonium phostphate is (NH4)3PO4, whitch has 3 nitrogen atoms when the other compounds only have one.",The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg19264,arg18748,arg19264_arg18748,rr,84183,1
11,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,ammonium phosphate has 3 nitrogen atoms per molecule while the others have 2 or 1 ,a1,arg18748,arg20486,arg18748_arg20486,rr,53cd8096b28fc873ca843d10e2534a,-1
12,it has 3 ,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg20542,arg18748,arg20542_arg18748,rr,ef24e2c5509cb534fbe75a88cd5787,1
13,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,"this molecule, has the most N atoms (3/molecule) 
a -> 1 atom
b-> 2atoms
c-> 2 atoms",a1,arg18748,arg20737,arg18748_arg20737,rr,65c07bdfe2443f1f25d042d79baa54,-1
14,"The chemical formula for ammonium phosphate is (NH4)3PO4 which means that every molecule of ammonium phosphate has 3 atoms of Nitrogen (N) , 12 atoms of hyrogen (H), 1 tom of Phosphorus (P)and 4 atoms of oxygen (O)",The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg21269,arg18748,arg21269_arg18748,rr,8b0ba4755c37c09526f17b2df81f1e,1
15,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,(NH?)?PO?,a1,arg18748,arg21409,arg18748_arg21409,rr,2aed87f6387e04f68a59b2183225aa,-1
16,D( NH4)3PO4 because PO4 has 3 negative charges,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg21757,arg18748,arg21757_arg18748,rr,398410031d6a0630370ec974b8cf76,1
17,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,"Sodium nitrate: 1 Nitrogen total
Ammonium sulfate: 2 nitrogen total
Calcium nitrate: 2 nitrogen total
Ammonium phosphate: 3 nitrogen total",a1,arg18748,arg22069,arg18748_arg22069,rr,cd1bd638acd927bfc155a9b0bc95ff,-1
18,NANo3 has two nitrogen,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg22485,arg18748,arg22485_arg18748,wr,93397d23d42e5d76737780e155c209,1
19,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,"In:
A) One atom of Nitrogen
In:
B) et C) two atoms of Nitrogen
In:
D) Three atoms of Nitrogen",a1,arg18748,arg22909,arg18748_arg22909,rr,779ccae396ac02d86a9006934986ed,-1
20,(NH4)3 PO4 has the highest atomic mass of  nitrogen atoms even though calcium nitrate has the highest molar mass,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg23469,arg18748,arg23469_arg18748,rr,cad58ea89c97bcaaf3598f2db30f47,1
21,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,"Because ammonium phosphate's formula is (NH4)3PO4, so there are 4 nitrogen atoms in this compound.",a1,arg18748,arg34879,arg18748_arg34879,rr,fbca5a26a2b08375e76fcf40ed5c9c,-1
22,"NaNO3= 1 atoms nitrogen
(NH4)2SO4= 2 atoms nitrogen
Ca(NO3)2=2 atoms nitrogen
(NH4)3=3  atoms nitrogen",The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg37369,arg18748,arg37369_arg18748,rr,3ada4231c423b560980813c28f6e86,1
23,The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,"It’s ammonium phosphate because it has 3 nitrogen’s, the other answers had less. ",a1,arg18748,arg37557,arg18748_arg37557,rr,66f1f89887c35741a4d6dc8360fbfe,-1
24,"In order for the ions yo balance in the molecular formula there needs to exist 3 Nh4 which means there are 3 nitrogen atoms which is the most out of all the others
",The formula unit is (NH4)3PO4 and it therefore contains 3 nitrogen atoms. The other compounds contain either 1 or 2 nitrogen atom per formula unit.,a2,arg79991,arg18748,arg79991_arg18748,rr,35ba9b9e376277ffac58ec696fa5b3,1
