,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"the double bond attacks the hydrogen, and then the hydrogen gives it's electrons to the bromine atom to form a bromide ion","Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg22604,arg16914,arg22604_arg16914,rr,98f0728081dc90afd48fae10a15f51,1
1,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",arrows move from electron-rich to electron-poor. The pi bond is electron rich so goes from it to the hydrogen in order to grab it. Then the electrons from the H-Br bond move onto to Bromine ,a1,arg16914,arg22751,arg16914_arg22751,rr,fabaa82e33456539e8d35a7911d43e,-1
2,"To remove the double bond, the double bond in 2-methylpropene will grab the H (arrow will point towards H) and the Br will receive the electrons from the bond existing between H-Br (arrow will point towards Br)","Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg22987,arg16914,arg22987_arg16914,rr,f613c3583ff018ed8cc1ae662c8fec,1
3,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",the first step is carbocation attaching itself to the hydrogen thereby breaking the bond between the hydrogen and bromine.,a1,arg16914,arg23450,arg16914_arg23450,rr,2a3cd35ce04abff5ecdead8df80035,-1
4,"In a hydration reaction, an alkene ""reaches out"" with its double bond and attacks one of the acid's hydrogen atoms.  ","Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg23979,arg16914,arg23979_arg16914,rr,8661486c2ec51b90297e6e4019b3c3,1
5,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ","The electrons of the double bond of the alkene react to grab hold of the hydrogen, which then expels the LG. ",a1,arg16914,arg25094,arg16914_arg25094,rr,4534ea6018869f5f1345480b9b6eb4,-1
6,the double bond goes to get the hydrogen to create a sigma bond and detaches itself from the Br,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg25130,arg16914,arg25130_arg16914,rr,fe0c5c5c1546ca92018d6ce8088c30,1
7,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",The pi bond attacks the H atom and the H-Br sigma bond is broken and the electrons go to the Br,a1,arg16914,arg25333,arg16914_arg25333,rr,13fa43567f186a8778de3d0828d334,-1
8,"Since the double bond is more electron rich, it will attack on the H which is electron deficient. Br is an electronegative atom which will gladly takes the electron and stable on its own.  ","Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg25382,arg16914,arg25382_arg16914,rr,7c3549698803785dfe3ad94f20d21f,1
9,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ","the electrons from the double bond will go to H, making it H+, and Br will take the electrons from the bond, making it H-",a1,arg16914,arg26466,arg16914_arg26466,rr,2b77978a2fdb6ee22b32139565158d,-1
10,Breaking the H-Br bond and 2-methylpropene removes an electron to break it down to a sigma bond.,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg27080,arg16914,arg27080_arg16914,wr,69ba32213c2192ead325d4e6aab9bf,1
11,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",the Br molecule must take away the protons and thus the double bond gives its protons to H,a1,arg16914,arg27266,arg16914_arg27266,rr,918159b5c3fefce21fdbe889a91069,-1
12,The double bond attacks the hydrogen breaking the bond between the bromine and since bromine is more electronegative it will grab the electron from hydrogen,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg27382,arg16914,arg27382_arg16914,rr,82c71896606f8558730329b3dec4c3,1
13,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ","The alkene has a high-lying pair of pi-bonding electrons and are held by high-energy sigma bond, but loosely. Therefore these makes the electrons more accessible.",a1,arg16914,arg28020,arg16914_arg28020,rr,766fd3eee2b0d07179ef028f7e65bf,-1
14,The arrows should be leaving the CC double bond in 2-methylpropene towards H from HBr. And then from H in HBr to the Br atom.,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg29682,arg16914,arg29682_arg16914,rr,c71cccd8c30ac2a94cbb55f4f51ffd,1
15,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ","hydrogen cannot give up any electrons (eliminates 3 and 4)
Br is electronegative enough to take away the electrons from the HBr bond",a1,arg16914,arg29826,arg16914_arg29826,rr,e4e53e383dfdd1a7b02581dac9de8b,-1
16,"It is the first one , because to have a bromine charged negatively and stable , we have first, to  give one electron to the H to have his one proton , then the bond between the H and Br would be possible to break up and for the Br , to be free with a negative charge . ","Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg30458,arg16914,arg30458_arg16914,rr,38b8df7d06e51a1d5eab8c06262b7a,1
17,"Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ","The head of the arrows indicate the direction of electron movement. The single bond that breaks between H and Br, and the resulting electron pair that they shared are now solely 'owned' by Br, to make Br-. The double bond breaks, and the electrons that are now available from an unhybridized p orbital are attracted to H+ to form a new single bond. ",a1,arg16914,arg30464,arg16914_arg30464,rr,b83e510bf001ea36d911dd5559f3db,-1
18,"The pi-bond is electron rich, thus able to grab a proton, and Br is a good leaving group.","Arrow pushing shows the movement of electrons. The flow of electron goes from the double bond (electron rich) to the proton, breaking the sigma bond between HBr, and its electron density shifts onto the Br, which is capable of stabilizing the negative charge. ",a2,arg30821,arg16914,arg30821_arg16914,rr,9fc47e719927ca37842ba40e697102,1
