,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,180 degrees away from X,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg15601,arg15527,arg15601_arg15527,rr,ybrouillette,1
1,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",2 is anti to X on 2 adjacent C atoms,a1,arg15527,arg17729,arg15527_arg17729,rr,70565,-1
2,Both axail but different directions up and down ,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg17987,arg15527,arg17987_arg15527,rr,17426,1
3,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",I say so,a1,arg15527,arg18662,arg15527_arg18662,rr,69189,-1
4,has to be 180 degrees,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg22067,arg15527,arg22067_arg15527,rr,de177691afb8b714077d26f0d761db,1
5,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",an anti relationship is one where there is 180 degrees between the molecules,a1,arg15527,arg22267,arg15527_arg22267,rr,fabaa82e33456539e8d35a7911d43e,-1
6,I believe it's 2 since its opposite to X and also pointing up so it would have altering orientation on that positioning,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg22321,arg15527,arg22321_arg15527,rr,4b3c37ac359dabfdb282ef3d957356,1
7,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",It is the substituent that is farthest away.,a1,arg15527,arg22379,arg15527_arg22379,rr,3ab399bf1fbe754e0da4f23f5e6a89,-1
8,the 2 substituent is anti to X because it's slant up while X is slant down. ,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg22511,arg15527,arg22511_arg15527,rr,2a3cd35ce04abff5ecdead8df80035,1
9,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",The substituent 2 is pointing at different direction than X.,a1,arg15527,arg22542,arg15527_arg22542,rr,54abbad204d18f45d3061e003afa75,-1
10,Looking through the C-C bond we can see 2 is anti to X,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg22692,arg15527,arg22692_arg15527,rr,13fa43567f186a8778de3d0828d334,1
11,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ","No.2 is in the opposite direction of X. At the same time, No.2 is on the same axial as X.",a1,arg15527,arg22763,arg15527_arg22763,rr,c0d1e9a516f014d18980fa18499c08,-1
12,"Anti is the one at 180 degrees, and that's 2","Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg22807,arg15527,arg22807_arg15527,rr,41ee06768dd49590dcf4cde0b02be6,1
13,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",Substituent 2 is in the exact opposite position to X. ,a1,arg15527,arg22896,arg15527_arg22896,rr,7a927541bbd72ea35d0dfc99657734,-1
14,"Anti is 180 degrees to X, which is position 2.","Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg23032,arg15527,arg23032_arg15527,rr,f613c3583ff018ed8cc1ae662c8fec,1
15,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ","Positions X,2 and 5 are axial, but only position 2 is facing the direction that is opposite from X. Therefore, 2 is anti to X.",a1,arg15527,arg23398,arg15527_arg23398,rr,bced4d77356bf83f9a9fceb50777a7,-1
16,It is easier to visualize in a newmann projection but X is anti to 2,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg24387,arg15527,arg24387_arg15527,rr,6428252a052eb527d93d27e2aa6fb3,1
17,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",it is on the opposite side ,a1,arg15527,arg24695,arg15527_arg24695,rr,2f4e73747d76bec0800d029f308a43,-1
18,2 is anti to X because when using newman representation we can see the are at opposite ends,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg24728,arg15527,arg24728_arg15527,rr,7a8a1f237efa4c91424d73b2c3e069,1
19,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ","Anti signifies an angle of 180 degrees therefore, X and 2 have a bond angle of 180",a1,arg15527,arg24981,arg15527_arg24981,rr,fe0c5c5c1546ca92018d6ce8088c30,-1
20,because it is the opposite of it,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg26622,arg15527,arg26622_arg15527,rr,578d8594189c640abdf4c38fd3eb1a,1
21,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",because position 2 is one carbon away from x. it is also anti because it is perpendicular to x. ,a1,arg15527,arg26820,arg15527_arg26820,rr,ca35a722afbe52caab3520f496b141,-1
22,An anti position is 180 degrees apart from the X position.,"Two is on the adjacent carbon, and it forms a 180 degrees to X, so it's anti. ",a2,arg26850,arg15527,arg26850_arg15527,rr,32a7ebd051109246404beb211f3402,1
