,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,acid-base reaction,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg22141,arg17298,arg22141_arg17298,rr,de177691afb8b714077d26f0d761db,1
1,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",Non-polar can not be mixed with polar molecules.,a1,arg17298,arg22651,arg17298_arg22651,wr,54abbad204d18f45d3061e003afa75,-1
2,NaNH2 acts as a base and will react with methanol ,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg23359,arg17298,arg23359_arg17298,rr,c435b8113c23b9ac673b688f54f732,1
3,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",Not a suitable solvent,a1,arg17298,arg25342,arg17298_arg25342,rr,13fa43567f186a8778de3d0828d334,-1
4,"
NaNH2 is a strong base and will deprotonate the methanol. Methanol is acidic and will react with NaNH2.
","Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg26106,arg17298,arg26106_arg17298,rr,3a879c5ca6690eebed445138179462,1
5,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",They are both basic and so they won'T react fully with one another,a1,arg17298,arg26471,arg17298_arg26471,wr,2b77978a2fdb6ee22b32139565158d,-1
6,"C, because it will create side products. ","Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg27871,arg17298,arg27871_arg17298,rr,cce340dda8fb37304e6194e1db8d69,1
7,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",Methanol is a good necluohpile,a1,arg17298,arg28366,arg17298_arg28366,rr,563f5cf52e11ca124dbba68d800abb,-1
8,thats true,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg29142,arg17298,arg29142_arg17298,wr,f9ee38aea9f0b5f43dbf8cd2dfee67,1
9,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ","CH3OH is a mild acid - it can't donate H+
NaNH2 acts as a base so we cannot use CH3OH as solvent.
NaNH2 + CH3OH = NH3 + NaOCH3",a1,arg17298,arg30149,arg17298_arg30149,rr,8661486c2ec51b90297e6e4019b3c3,-1
10,m,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg30388,arg17298,arg30388_arg17298,rr,16ce8d8634694b4e438b23f8ae9a4b,1
11,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ","Sodium amide, NaNH2 is a stronger base and methanol CH3OH will lose a hydrogen to NH2- forming OCH3- which is weak.",a1,arg17298,arg30656,arg17298_arg30656,rr,12d870875e5eb8558bdfad2949b0ce,-1
12,NaNH2is a strong base ... it will deprotinate the weak acid,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg30729,arg17298,arg30729_arg17298,rr,1b592f1978cfd43a0bc78f20580845,1
13,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",the answer is my rational,a1,arg17298,arg30920,arg17298_arg30920,wr,c167be80d456f0cf7ca0c460afe8fa,-1
14,One of them (ethanol) acts like an acid and the other (NaNH2) acts like a base. ,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg31994,arg17298,arg31994_arg17298,rr,7a927541bbd72ea35d0dfc99657734,1
15,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",Methanol is not the good choice to use it as solvent for amide. ,a1,arg17298,arg32702,arg17298_arg32702,rr,618f24d2ffbc2a251e8674ec15c0f4,-1
16,.,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg33169,arg17298,arg33169_arg17298,rr,9f7348484cbfe82726054b45bb8783,1
17,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",because the NaNH2 is a stronger base it will protonate NH2 and will make CH3O-,a1,arg17298,arg33180,arg17298_arg33180,rr,cfa42c9203a08d3fd0e6017cd870ec,-1
18,The OH will gain an H from NaNh2,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg33401,arg17298,arg33401_arg17298,rr,648aca1fdc67ce84e85ac370bd3c81,1
19,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",it is a strong base and deprotonates the alcohol ,a1,arg17298,arg33433,arg17298_arg33433,rr,2315463b45217e641fbe51492be712,-1
20,.,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg34039,arg17298,arg34039_arg17298,wr,fb139a9c75a609ff5f7561191818da,1
21,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",Methanol would act as a acid and sodium amide as base because O is more electronegative than N,a1,arg17298,arg34210,arg17298_arg34210,rr,fe79c893a02881e81993ea8d70765f,-1
22,This acid base reaction would get in the way of being a productive solvent. The solvent in this case should be un-reactive.  ,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg34415,arg17298,arg34415_arg17298,rr,675e40fa4c80c9b2e2f7161df8da4e,1
23,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",There would be a neutralization reaction ,a1,arg17298,arg34849,arg17298_arg34849,rr,6e38b1f769d1a09efdbfd3b4fbf318,-1
24,NaOCH3 is a weaker base than NaNH2 and the OH functional group in methanol can act as an acid which as a result will cause an acid-base reaction.,"Since sodium amide is a strong base, it will react with methanol to form sodium methoxide and ammonia. ",a2,arg35200,arg17298,arg35200_arg17298,rr,79b5057bfe6b76c10fc865bafd4fa4,1
