,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"The rationale for why the experiment went wrong is incorrect, the given reason does not correlate with the accurate description of a possible reaction. In fact a nucleophile can react at the same time as the leaving group departs, but not in the instance with a tertiary alcohol.","The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg48042,arg47584,arg48042_arg47584,wr,14e4773e0602f51e87d29331633020,1
1,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.","the comment does not explain which step did the person got wrong, it only stated what is the problem and how can it be fixed",a1,arg47584,arg48081,arg47584_arg48081,rr,ee7b40f08ecc3e6ceca31a6f6b2a5d,-1
2,"This does not state where the weakness is located, only explanations about what went wrong and how to fix it is given.","The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg48110,arg47584,arg48110_arg47584,rr,945b6e1a704801f71e7b1fd8397d4e,1
3,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",The feedback explains well what is wrong is the answer. However it doesn't give an explanation on how to think about the problem in the future.,a1,arg47584,arg48200,arg47584_arg48200,wr,55a6ac3b91a9d8926fd7887d2daed5,-1
4,The problem was described and explained when talking about the steric hindrance present around the carbon atom. Action for improvement appeared when a description of what the mechanism should have looked like was given.,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg48316,arg47584,arg48316_arg47584,rr,da3231695068ba111ce58a62e8022c,1
5,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.","There is no mention of what precisely was wrong in the diagram, only of what it should be like.",a1,arg47584,arg48393,arg47584_arg48393,wr,427050d71cb17486b0fca876c2f19d,-1
6,The feedback given describes the problem and explains what can be done for the problem to improve. However they it didn't specifically point out what the problem is. ,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg48487,arg47584,arg48487_arg47584,rr,6defc0b90b0da0c57d187c3f74376a,1
7,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.","After OH2 group leaves, a carbocation intermediate is formed. Then nucleophile will come to attack the carbonation and form a new bond.",a1,arg47584,arg48794,arg47584_arg48794,wr,c509b52e8c660ea9b55da982196fbf,-1
8,The feedback provides most of the three components. What went wrong and why could be explained a little more saying that Andy was thinking of an SN2 reaction.,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg48870,arg47584,arg48870_arg47584,wr,dcc4147a5c461bb23c8f37dfd85e77,1
9,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.","While the description of what went wrong and the provided solution suggested in this feedback is solid, the response doesn't show the location of the problem. Without knowing the exact step that the mistake has been made, it is difficult to identify where the error began. ",a1,arg47584,arg48933,arg47584_arg48933,rr,124dd114eb9c945c604cb34e9c5da0,-1
10,it is not indicated at what step in the reaction (numerically) where the incorrect answer was. it explains what the problem is with the written reaction and how it should be corrected in the previous example ie. showing the carbocation first before nucleophile attacks ,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg49261,arg47584,arg49261_arg47584,rr,d831fcf92e7fd555be2a451f3a4150,1
11,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.","He/she describes why the problem occurs and what can done to improve by telling the person what he/she should've done, but doesn't strictly say where the problem occurred.",a1,arg47584,arg49378,arg47584_arg49378,rr,005762fb8b37afea2793f142f145ac,-1
12,"It doesn't describe what we are seeing in the image with the ""proper vocabulary"" (i.e what is a nucleophile? and so on)","The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg49559,arg47584,arg49559_arg47584,wr,61bae7e56eaf9e632b6ab4f6fc9767,1
13,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",The problem location is missing from this feedback. There is no mention of where in the problem the student went wrong. They should mention it was that step 4 should occur before step 3 ,a1,arg47584,arg49683,arg47584_arg49683,rr,c0ea6e7059333dd78629a86303cbeb,-1
14,"This is the problem description: 'A tertiary alcohol does not undergo an SN2 mechanism because the quaternary carbon is too sterically hindered. ' and this is the action for improvement: 'The mechanism depicted should be an SN1 mechanism where you need to show the carbocation formation step when the OH2 group leaves, before the bromide nucleophile reacts.'","The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg49930,arg47584,arg49930_arg47584,rr,099999c1b143f3d2cd8c7c1d28b4a6,1
15,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",They did not specify which number corresponded with the error. They should have specified that the error was with step 3.,a1,arg47584,arg50089,arg47584_arg50089,rr,fbe45c340845275a929987e1fb2fd5,-1
16,"Need to elaborate on ""sterically hindered"" and how that prevents an SN2 from happening in regards to the nucleophilic attack. ","The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg50140,arg47584,arg50140_arg47584,wr,dfe098409158f2b5664f63828349b8,1
17,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.","Problem location component is missing. He explains, why Andy made a mistake and suggests the way to fix the problem, however he does not state, in which step mistake is made.",a1,arg47584,arg50344,arg47584_arg50344,rr,fb94abeecc8cfd1785cd15ed52658b,-1
18,"Problem description of why an SN2 reaction is present, explaining why the quaternary carbon is too sterically hindered. Action for improvement also exists as it provides an alternate explanation and mechanism pathway of SN1, with the formation of the carbocation and the water leaving group. However location of the problem is not provided.","The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg50481,arg47584,arg50481_arg47584,rr,23701f36089d9a2d8d294a4f7a5110,1
19,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.","In an SN1 mechanism, there is no formation of a carbocation where there is no OH or Br bonded. The intermediate carbocation in an SN1 reaction has both OH and Br entering and leaving the molecule at the same time",a1,arg47584,arg50601,arg47584_arg50601,wr,f7eaed632086ca95b65937d14a9065,-1
20,"The problem is described and actions for improvement are provided. However, where the problem occurred is not mentioned. No roman numeral is given.","The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.",a2,arg50638,arg47584,arg50638_arg47584,rr,c0fc9f8ab59e763cd58c6e0e5fe722,1
21,"The Problem Location component of useful feedback is missing. Feedback should explicitly state where the mistake is occuring. For example, the peer feedback could have stated that there is a problem in step III, where the bromide ion nucleophile reacts with the quaternary carbon.","It makes no mention of which specific step in the chemical process is wrong, leaving out the ""Problem Location"" portion. It does do a fair job of describing the problem and an excellent job in suggesting the improvement mechanism. The addition of the location would make this very good feedback.",a1,arg47584,arg50653,arg47584_arg50653,rr,31273351487d2054fb011ddaefdd02,-1
