,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"The calculated answer is not enough. One must consider the size of the charges and which sphere it's acting on. Since Q1 is less than Q2, the force is in the direction of Q2 and it's negative.","Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ",a2,arg184994,arg61869,arg184994_arg61869,wr,32cc4976517d556e4bd21531dbde83,1
1,"Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ","according to Coulomb's law F = kq1q1/r^2, the force can be calculated",a1,arg61869,arg185004,arg61869_arg185004,rr,5bac69d515e9e1c3039a361b577798,-1
2,"The solution to this equation is:
((3E-6)(6E-6)/(3)^2)*9E9 = 0.018 N or 

Where the absolute value of the charges was taken, and Coulomb's constant was taken to be 9E9.","Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ",a2,arg185031,arg61869,arg185031_arg61869,rr,cae4855aff4d4756d970006793c280,1
3,"Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ","The charge values are given in µC, so first they must be converted to C (1µC = 10^-6 C). Then, using Coulomb's Law, the direction and magnitude of the force acting on Q1 can be found to be 1.8E-2 N.",a1,arg61869,arg185032,arg61869_arg185032,rr,0036b5e34272d4c67bdfcf8bdd7f32,-1
4,"The magnitude of the force is -1.8 N, and since the unit vector is -2, the answer is D.","Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ",a2,arg185046,arg61869,arg185046_arg61869,wr,7a3e0e8887c141e190877d3ffd07ce,1
5,"Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ",I converted the microcoulombs into Coulombs and then applied Coulomb's law,a1,arg61869,arg185107,arg61869_arg185107,rr,65660ae36dd6feaaa991b2084266f0,-1
6,Coulomb's law shows the method of caculating a force exerted by charges.,"Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ",a2,arg185162,arg61869,arg185162_arg61869,rr,dab2b060e40d14998288dbd19c50a7,1
7,"Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ","The formula said so, just bring the number in. actually I think there should be a negative sign before A.",a1,arg61869,arg185173,arg61869_arg185173,rr,1c85fe6d97ecc03d02c5ecaaf04953,-1
8,this is the electric force because using coloumbs law you are able to calculate the electric force acted up each object over a given distance,"Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ",a2,arg185206,arg61869,arg185206_arg61869,rr,e8cba26b87e6117670875c44a491d4,1
9,"Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ","we have known the charge and distance of these two ,use electric formula to calculate the froce
F=K*Q1*Q2/R^2=0.018N",a1,arg61869,arg185416,arg61869_arg185416,rr,3dfb9bff147f5b491e3b647d9d1eda,-1
10,"Using Coulomb's law in the vector form, we can calculate the electric force as well as find the direction.","Since the charges are of opposite sign, they will attract. Then, the direction will be inwards. The magnitude is thus F = kQq/r^2 = 1.8E-2 N ",a2,arg185447,arg61869,arg185447_arg61869,rr,5965f5c5b117430ff9ba7e70573614,1
