,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,The charges must be the same between the red and blue ball because similar charges repel one another.,"They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.",a2,arg185006,arg184997,arg185006_arg184997,rr,0c075f5867e6ddb0ca297e206f2446,1
1,"They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.","It cannot be that one is positive and the other is negative because then the two spheres would be touching since opposite charges attract. However, like charges repel, and it doesn't matter if they are both positive or they are both negative. So the answer is D.",a1,arg184997,arg185026,arg184997_arg185026,rr,655d24d3a5815b9429beaa0e4419c7,-1
2,"Charged materials/particles exert on each other an equal attractive or repulsive electrical force. Opposite charges attract each other. If the two spheres were moving towards each other, it would mean there is an attraction. However, the spheres are repelling each other. This means they must have the same charge. This charge can either be positive or negative.","They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.",a2,arg185048,arg184997,arg185048_arg184997,rr,a32738f38ffcdddaa5fb0a21408662,1
3,"They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.","Charged particles exert a mutual attractive or repulsive electrical force of each other. In this case, they are repelling each other therefore they are both negative or both positive.",a1,arg184997,arg185090,arg184997_arg185090,rr,971c10e0427185cc85a87ff5c5cd9d,-1
4,"Since two balls are repelling, we only know that they got the same charge but do not know the sign of the charge.","They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.",a2,arg185117,arg184997,arg185117_arg184997,rr,99a969641355760a06e81c3755a473,1
5,"They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.","Since both objects are repelling one another at the same angle, they must have the same charge sign meaning they are either both positive or negative.",a1,arg184997,arg185167,arg184997_arg185167,rr,90f3eb8d6e55e10d01ec0fcfeb69ee,-1
6,"A negatively charged object will attract a positively charged one and vice versa. How ever two objects with the same charge, be it negative or positive, will repel on another.","They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.",a2,arg185184,arg184997,arg185184_arg184997,rr,a81424fb93efea6e7328e841e1a7c3,1
7,"They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.","different charge attracting; same charge repelling. if they are both positive or negative, they can repell each other",a1,arg184997,arg185223,arg184997_arg185223,rr,6858ee238a2d7657b2b6cd66caaf47,-1
8,"Like charges repel one another and opposite charges attract each other. As shown in the diagram, we can see that the two charges are repelling each other, which means that they have the same sign of charge, either positive or negative.","They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.",a2,arg185292,arg184997,arg185292_arg184997,rr,2cad2c29d3dbc3be85623f69af02a8,1
9,"They will repel each other if the charges are the same, so they can either both be positive or both be negative. We don't have any info to tell us which charge they are, so D is the right answer.","Like charges repel each other, unlike charges attract
they are like charges since there is an angle between them",a1,arg184997,arg185307,arg184997_arg185307,rr,d08d54a321992328b42e62063de28a,-1
