,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,A is where there are the most lines.,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68132,arg68083,arg68132_arg68083,rr,f25052a7788fbbb891a39d524ef6c3,1
1,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","Being closer to the source results in a higher magnitude of electric field, resulting in A having the greatest magnitude. C follows as at point B the magnitude of the electric field cancels out to be 0.",a1,arg68083,arg68171,arg68083_arg68171,rr,5d5c9eeee8f714934b249eebfabd8b,-1
2,"B will have a charge of 0, and A will have the greatest charge.","At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68296,arg68083,arg68296_arg68083,rr,6e9d026b7164c4df53ea13646f0ef4,1
3,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",The magnitude of the electric field is greater when the lines are closer toghter ,a1,arg68083,arg68350,arg68083_arg68350,rr,5a3c3bba27fa8e6632e503a644e3c8,-1
4,b is 0,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68417,arg68083,arg68417_arg68083,rr,1fb9b74d4e8887408717fad6e3168f,1
5,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","B is the closet one, A is the second closet one, C is the last.",a1,arg68083,arg68432,arg68083_arg68432,rr,81321f84bd424d3514ec0ab2c0aca2,-1
6,"The further electric field lines go, the weaker they get. At B, there are no electric field lines passing so E=0 which makes it the weakest.
When comparing A and C, A is stronger because C is further away. ","At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68562,arg68083,arg68562_arg68083,rr,49ab6955e82103dceffcc20dbc3767,1
7,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","A is closest, B is further, and C is furthest. Since electric field strength decreases with distance (e=kq/r^2) A is strongest and C is weakest. ",a1,arg68083,arg68572,arg68083_arg68572,wr,47da76dc2857ee994cf007666b04ff,-1
8,"There is no electric field in the middle ofth two positiive charges. Comparing A with C, A is closer to the source.","At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68580,arg68083,arg68580_arg68083,rr,e94a1b7d38472262fd9a92bd17a9a3,1
9,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",know,a1,arg68083,arg68830,arg68083_arg68830,rr,d4a85da71955c4ce81b5f7a18f2b82,-1
10,.,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68857,arg68083,arg68857_arg68083,rr,35de34faa8a79034d210fb7400b39f,1
11,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",same charge?0 between,a1,arg68083,arg68870,arg68083_arg68870,rr,8395773f45d7ef631e74a152a7e8d1,-1
12,smallest r^2 makes largest electric field,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68882,arg68083,arg68882_arg68083,wr,0ffeacaf39891343d7756b811ee010,1
13,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",1,a1,arg68083,arg68883,arg68083_arg68883,rr,293989c95cfc2fe9cd72b018bfe558,-1
14,"Due to the distance,r bigger,E smaller","At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68914,arg68083,arg68914_arg68083,wr,6825ac3eec131fc14ed1d7fdf6ce9f,1
15,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",strongest where lines are closely spaced ,a1,arg68083,arg68925,arg68083_arg68925,rr,e6f9a98ac9108f15c77c6a2ec2153f,-1
16,Electric Field is 0 at B. Electric field at A is greater than electric field at C because E= kq/r^2. ,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg68944,arg68083,arg68944_arg68083,rr,a034ef66c8af607414f6798264a5ee,1
17,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","B experiences no electric field, since there are no lines tangential to the electric field lines in the direction of the field lines that reach point B. 
A experiences a greater force than C since A is closer to source of the electric field. ",a1,arg68083,arg68996,arg68083_arg68996,rr,951b634c1e6c8efcc64b5934edfb01,-1
18, ,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg69005,arg68083,arg69005_arg68083,rr,a66134f9d8778e1bb21588175be50b,1
19,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","A is the strongest, c is the second strongest and B is the weakest since the forces at this location are cancelled out ",a1,arg68083,arg69029,arg68083_arg69029,rr,3b82a24353e5767c6ea89a77bc0ebc,-1
20,The electric field at B is 0. The electric field at A is bigger than that at C since A is closer to the charges. ,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg69040,arg68083,arg69040_arg68083,rr,ef19782cf9333eb6a5a608a66790e2,1
21,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","E=kQ/r^2. A is closest, then B, then C.",a1,arg68083,arg69073,arg68083_arg69073,wr,f22066281a3b471d67a02f5f54c544,-1
22,Lines cancel out at B,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg69093,arg68083,arg69093_arg68083,rr,f1d68a824c142178696fe8663ec2b6,1
23,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","Based on how close the points are to the charges, and how many charges are acting on the points.",a1,arg68083,arg69095,arg68083_arg69095,wr,0e660ad65efb7f607f0eb628e16682,-1
24,a is strongest since it is closest and b is weakest because it is in a spot without electric field,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg69109,arg68083,arg69109_arg68083,rr,754a94af492f5a2a02564805a0c5eb,1
25,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","more lines, greater electric field",a1,arg68083,arg69118,arg68083_arg69118,rr,36b6acf1252130cba97f5528f2f047,-1
26,THE POINTS NEAREST THE CHARGE WILL FEEL THE GREATEST ATTRACTION. ,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg69119,arg68083,arg69119_arg68083,wr,7b0d0626b674a1427bd764b7953885,1
27,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",because,a1,arg68083,arg69146,arg68083_arg69146,rr,c3a3edf6af749f4fee51c9c3329624,-1
28,B has a zero magnitude because it is not in the electric field. A feels a greater magnitude than c because it is closer to the charge.,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg69164,arg68083,arg69164_arg68083,rr,e829716b3b475d9dd33053afa9a76a,1
29,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",meet,a1,arg68083,arg69207,arg68083_arg69207,rr,e7e003ba332bdd8f482bfd5b476647,-1
30,B they all cancel out. And A is closer than C.,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg69220,arg68083,arg69220_arg68083,rr,b47d603f1303f34f981bdd97342489,1
31,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","A is the closest to the particle, while C is further and B has no electric field (in between particles with same charges)",a1,arg68083,arg69309,arg68083_arg69309,rr,5c742d70014f4167744053356b2390,-1
32,.,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.",a2,arg69411,arg68083,arg69411_arg68083,rr,602b2eb28889083d1f656174d99d28,1
33,"At B, the electric field vectors cancel (E=0). C is further away than A and is therefore weaker.","B is in an area of the electric field that has cancelled out, so it experiences the weakest.  Meanwhile, A is closer than C, so it experiences a greater electric field.",a1,arg68083,arg69425,arg68083_arg69425,rr,a01bfd3e6e4ea05425cfb21a91dd24,-1
