,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"Like charges repel and opposite charges attract. Initially the metal ball is negatively charged, and as it is not in contact with the charged rod so that there is no transfer of electrons. The total charge of two objects are both conserved while the negative charges in the metal ball are induced/attracted to the rod. ","If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",a2,arg65707,arg65671,arg65707_arg65671,wr,5a4e248e3dbddc2c4553b28ad236ab,1
1,"If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball","When the metal ball is negatively charged, the ball is attracted towards the rod as opposing charges attract each other. When the metal ball is neutral, polarization occurs and the ball is attracted to the positively charged rod. Electrons are attracted towards the positively charged rod which separates the charge within the metal ball. ",a1,arg65671,arg65770,arg65671_arg65770,rr,ad2a70906eb5ddc27c8efcdfc996ec,-1
2,"net negative charge is attracted to a positive charge, but the negative charge in the ball could also be an induced charge (such that the net charge of the ball is zero but there is a positively- and negatively-charged areas of the ball)","If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",a2,arg65812,arg65671,arg65812_arg65671,rr,cb46ddd5247e6998bfafd9754c1f38,1
3,"If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball","The ball can be neutral and induced be the charged rod to be attractive to it.
Also, the opposite charges attract one another, so the ball can also be negative.",a1,arg65671,arg65843,arg65671_arg65843,rr,ad3b8e552df69a50fe67b42f7b70bd,-1
4,A negative charge will be attracted to a positive charge. An induced charge could also be in play where the ball itself is neutral but the rod is causing the positives to move to the other side and for the negatives to be attracted to the positive.,"If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",a2,arg65866,arg65671,arg65866_arg65671,rr,96990c9f9e0df4fe5efd67b17b1168,1
5,"If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball","it can be negative because opposites attract and the pole is positive. it can also be neutral because there can be an charged by induction due to the positive charge on the left. therefore, overall the ball would be neutral but would have an induced charge. ",a1,arg65671,arg65979,arg65671_arg65979,rr,969ae3729cdb5cc4c6c5d6a68a13c2,-1
6,"Because the rod is positively charged, for it to attract the ball, the ball must be negatively charged. It can also be neutral: the ball will be more negative on the surface near the rod and more positive on the sides far from the rod.","If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",a2,arg66009,arg65671,arg66009_arg65671,rr,6f6ede27d685b8151f90f25755ef04,1
7,"If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball","charging by induction is happening and so there's a separation of charge. the electrons in the sphere leave the sphere through the thread and into the ceiling, leaving the sphere with a net positive charge ",a1,arg65671,arg66074,arg65671_arg66074,wr,2616a60e622fe15223cd33e79fa414,-1
8,"If the ball were to be negative then it would be attracted to the positive rod as opposite charges attract. The ball could also be neutral and be attracted to the rod because the electrons inside the metal ball will be attracted to the positive rod, which would also cause the ball to move towards the positive rod.","If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",a2,arg66097,arg65671,arg66097_arg65671,rr,5d5c9eeee8f714934b249eebfabd8b,1
9,"If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",The metal ball can be attracted to the positively charged rod if it is negatively charged since opposite charges attract. It can also be attracted to the rod if it is neutral since it can be attracted via induction.,a1,arg65671,arg66148,arg65671_arg66148,rr,86328c14537f69bf757e4715cee8a5,-1
10,"This is because opposite charges attract and if the rod is positive then the ball might be negative or it may be neutral. In the latter case, the ball is attracted by induction. However, since like charges repel, the ball cannot be positive.","If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",a2,arg66178,arg65671,arg66178_arg65671,rr,243d151030e57173a0cdb8e2b7e62c,1
11,"If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball","If the ball and the charged rod are attached together, the overall charge of the ball should be negative, but if the do not have contact with each other, the charge should be neutral.",a1,arg65671,arg66198,arg65671_arg66198,rr,cb34f3d9d2d08ab7c0722700db3038,-1
12,"Opposite charges attract one another. Since the rod is positively charged and the ball is attracted to it, if the ball is charged, it should be negatively charged. Otherwise, they will repel one another.  
It is also possible that the ball is neutral because a charged object can attract neutral objects.","If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",a2,arg66218,arg65671,arg66218_arg65671,rr,8be59e6d242c06e9d44534efacfad5,1
13,"If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball","Opposite charges attract. 
When an object is neutral, the negative charges will go to the surface of the ball to meet the positevely charged rod and the positive charges will be repelled (and go to the opposite side of the ball).",a1,arg65671,arg66259,arg65671_arg66259,rr,67bae432b192f9615d06670a0da3e3,-1
14,"If the ball is negatively charged, opposite charges will attract, but if it's neutral, the electrons will still be attracted to the rod, and the ball will experience a net charge. ","If the ball is negative it will be attracted to the positive bar since opposite charges attract, however if the ball was neutral it would also be attracted to the bar since the ball could have an induced charge where it is neutral but the positive and negative charges are separated in the ball",a2,arg66343,arg65671,arg66343_arg65671,rr,3ac67b187ca3ec12ebf3b9b5ebbabd,1
