,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"The positive and negative charges will attract each other at the same magnitude. Like charges repel, and will repel at the same amount if their magnitude is the same.","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg185024,arg185017,arg185024_arg185017,rr,ebfde130f39d7a2d2aee015d5c095d,1
1,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","Opposites charges attract equally, so there arrows must go towards eachother and be of the same force.",a1,arg185017,arg185027,arg185017_arg185027,rr,aa4f22747c5e879a6fa36b18b99283,-1
2,Opposite charges will induce mutual repulsion and thus b) is correct. Same charges will induce mutual  attraction. c)is with same charges but incorrect. The balls should stick with each other.,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg185096,arg185017,arg185096_arg185017,wr,971c10e0427185cc85a87ff5c5cd9d,1
3,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","Opposites attract, and according to Newton's third law, the magnitude of this force should be equal.",a1,arg185017,arg185155,arg185017_arg185155,rr,1c85fe6d97ecc03d02c5ecaaf04953,-1
4,The magnitude and the signs are correct . Magnitude should be equal and the signs must be opposite,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg185165,arg185017,arg185165_arg185017,rr,1d38b5c47c127a9b83ecc454f4cf55,1
5,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","It is known that opposite charges attract and like ones repel each other. Furthermore, there is no indication that one charge is more powerful than the other and they appear to be the same size, therefore the vectors will be equal",a1,arg185017,arg185189,arg185017_arg185189,rr,a81424fb93efea6e7328e841e1a7c3,-1
6,"In order for the force vectors to have mutual attraction, the charges must be different, which is only seen in answer C.","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg185247,arg185017,arg185247_arg185017,rr,3b884917d6ae67d160dbb47e624571,1
7,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","First, look at the charge. Like charges repel, while opposite charges attract.
Second, the magnitude of the force that the charged ball on the left exerts on the charged ball on the right is equivalent to the magnitude of the force that the charged ball on the right exerts on the charged ball on the left according to Coulomb's law.",a1,arg185017,arg185415,arg185017_arg185415,rr,5965f5c5b117430ff9ba7e70573614,-1
8,C accurately shows mutual attraction between two charges (a positive and a negative). Others are just wrong,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg185476,arg185017,arg185476_arg185017,rr,49c90960d08d34fc8e5d1933a7da99,1
9,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","since same charges repel and opposite charges attract, the answer can be either c or b. however, it is not b because according to columbs law, the force of attraction on both point particles should be equal",a1,arg185017,arg185590,arg185017_arg185590,rr,8af4f66fde7e076b58c68b8b920575,-1
10,Like electric charges repel; unlike ones attract. And the positive electric charge and negative electric charge has same magnitude,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg185597,arg185017,arg185597_arg185017,rr,697d61e5a70ee2bae4d423804b7a5c,1
11,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",+/- opposite charges attract each other so the arrows are facing each other like option c,a1,arg185017,arg185635,arg185017_arg185635,rr,3d1fad20d9b55b199bbc14e9a49d30,-1
12,"Answer C is mutual attraction because the sign of the particles is different, they have identical arrows representing the electric force (= same size) and the are pointing towards one another, suggesting attraction","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg185642,arg185017,arg185642_arg185017,rr,6d57c9b23f172d485455946f1da18f,1
13,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","The force vectors for a and d are wrong, so by OOE, that leaves me with c or b. b has bigger arrow on the right ball, so c has to be the correct answer!",a1,arg185017,arg185677,arg185017_arg185677,rr,50b4ca89919d12ac1b2f7755ab6f65,-1
14,"a and d are both wrong because “like charges repel”, and b is also wrong because the force should be the same. Therefore, c is the correct answer because unlike charges attract each other in the same amount of force","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg185797,arg185017,arg185797_arg185017,rr,d977be5047ab6e4d7e70c76e61cc2a,1
15,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",Opposite charges attract each other and its a mutual attraction as both have same magnitude,a1,arg185017,arg185999,arg185017_arg185999,rr,54eb2abcef2269d63665b60acbc1ad,-1
16,"Like charges repel and opposite charges attract. The magnitude relates the equal and opposite electric force between point charges to the product of the charges, which is the Inverse-square law.","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg186021,arg185017,arg186021_arg185017,rr,19421a4051da4a2b73d993edb77d83,1
17,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","Considering the size (magnitude) and direction of the force vectors, only C illustrates a situation where two charges of equal magnitude exert a mutual attractive force.",a1,arg185017,arg186029,arg185017_arg186029,rr,72bfa936ea0a85d81c2fd603773ca0,-1
18,"Different charges causes attraction forces, and similar charge cause repulsion forces, so according to this property, a and d are wrong. For b, since electric force is an example of central force, which for both point charges they experience the same magnitude force, so two arrows should have the same thickness. Therefore, c is the best answer.","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg186037,arg185017,arg186037_arg185017,rr,d49cb6ec1a0138cb2a1e2ffd373edc,1
19,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","A and D can be eliminated because they depict an inaccurate situation since like charges repel each other. Of the remaining B and C, B can be eliminated because it does not make sense that there would be inequal repulsion between 2 particles of the same charge and the same size. Therefore, the correct answer is C.",a1,arg185017,arg186088,arg185017_arg186088,rr,17aa82bbdd30955d512ca93c15b9ca,-1
20,"A and D are incorrect because like charges repel, not attract.
B is incorrect because the forces have different magnitude (not mutual).
C is correct because opposites attract, and the force exerted on each object by the other is equal (mutual).","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg186129,arg185017,arg186129_arg185017,rr,dc33ec99e933b67dc534749c0f30ce,1
21,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","A and D show inaccurate reflections of attraction (both should be repelling rather than attracting). B shows an unequal repulsion experienced by each of the two positively charged spheres, which shouldn’t be happening, they should be equal. Only C shows the correct attraction and magnitude of attraction.",a1,arg185017,arg186156,arg185017_arg186156,rr,7a447f46d56021c76306e67602b173,-1
22,C) represents a mutual attraction with the same sized force arrows that point towards each other due to the opposite charges.,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg186163,arg185017,arg186163_arg185017,rr,5252015b594cf51f71aa9390dd38c8,1
23,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","Figure C must be correct because it shows opposite charges attracting. Figure B could be correct, however, it shows force arrows of different magnitudes, which is incorrect.",a1,arg185017,arg186173,arg185017_arg186173,rr,1f0ebfac41b03b8741a92f1522dadc,-1
24,"Like charges repel , answers a and d depict like charges that attract each other, this is clearly incorrect. However in the two like charges that repel one another, both are repelled with the same force, thus b is also incorrect. Thus, c must be correct by elimination and as seen it has opposite charges that attract each other equally.","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg186187,arg185017,arg186187_arg185017,rr,98fc0401669dba0cf5f8e26072156b,1
25,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",opposite charges attract one another. The magnitude of force acting on either charge is proportional to the product of the two charges .,a1,arg185017,arg186266,arg185017_arg186266,rr,a4a2771d8406203995fa41570d3734,-1
26,"When the charges are opposite the forces will be directed toward the opposite one, but if the charges are the same they will point away from eachother. Therefore the only option that makes sense and follows this principle is c.","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg186296,arg185017,arg186296_arg185017,rr,6a1332cb4432c3792bb56da1d0dd84,1
27,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.","Assuming the size of the circles represents the magnitude of charge, picture c is the most accurate as they are opposite and equal charges, therefore they exert the same force on each other and towards each other.",a1,arg185017,arg186341,arg185017_arg186341,rr,65b2a422dc206fbbad64609faf73e1,-1
28,"When charges are the same, the direction of arrows are pointed outward from their common center while opposite charges have their arrows pointed inward from their common center. The arrows should be equal in magnitude too.","Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",a2,arg186347,arg185017,arg186347_arg185017,rr,723ce3c6c152e33e4899754474545c,1
29,"Since the same charge repulses, we can eliminate a and d. According to Coulomb's law, two charges separated by a distance will experience the same force magnitude. This is correctly represented in answer c and not b.",Opposite charges attract one another with equal force so C is correct. A and D are false because like charges repel one another with equal force. B is false because the repelling force should be equally.,a1,arg185017,arg186350,arg185017_arg186350,rr,30c581413f5fa5987343bfffd1fe0a,-1
