,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"Due to Columb's law, red charge experiences a greater electric force.","Recall that F = kqQ/r^2, therefore the fact that q = 1 and Q=2 makes the force greater in this case. ",a2,arg65660,arg33697,arg65660_arg33697,rr,eec6865577da32ed55c57e306e165b,1
1,"Recall that F = kqQ/r^2, therefore the fact that q = 1 and Q=2 makes the force greater in this case. ",This is due to coulombs law.,a1,arg33697,arg65691,arg33697_arg65691,rr,fbb39a38ab08c2b32697ff448a8d26,-1
2,the red charge has a greater charge than the blue one,"Recall that F = kqQ/r^2, therefore the fact that q = 1 and Q=2 makes the force greater in this case. ",a2,arg65711,arg33697,arg65711_arg33697,rr,27662fc7d45f9a3bcd9f1fdd69bd94,1
3,"Recall that F = kqQ/r^2, therefore the fact that q = 1 and Q=2 makes the force greater in this case. ",coulombs' law says that the electric force between two objects is related to the amount of charges they have,a1,arg33697,arg66330,arg33697_arg66330,rr,a66134f9d8778e1bb21588175be50b,-1
4,There is a greater difference in the red ,"Recall that F = kqQ/r^2, therefore the fact that q = 1 and Q=2 makes the force greater in this case. ",a2,arg67955,arg33697,arg67955_arg33697,rr,6e9d026b7164c4df53ea13646f0ef4,1
5,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","A.The magnitude of electric force is dependent on the radius and the charge, however the radius appears the same so the force here is solely dependent of charge and since the force is dependent on the product of the charges the red charge will create a greater force since 1x2=2 and 1x1=1 and 2>1.
",a1,arg65679,arg65701,arg65679_arg65701,rr,b34235ab4651042db10461512753f4,-1
6,"The magnitude of the electric force on a charge depends on both the distance and the magnitude of the charge itself. The distance in both instances is the same. However, the red charge has a greater charge, and so, a greater magnitude of electric force. ","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg65764,arg65679,arg65764_arg65679,rr,52a0801ec0b18861cc6df508f1b10b,1
7,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","The more positive the charge is, the more it will be repelled by another positive charge (positively charged rod). Therefore, the red charge will experience the greater electric force due to the positively charged rod.",a1,arg65679,arg65766,arg65679_arg65766,rr,758a04bfd540a8ebc58054b78e1833,-1
8,"This is because of coulomb's law which gives the formula for magnitude of electric force. Since the distances are the same, only the charges could affect the magnitude of the force.","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg65901,arg65679,arg65901_arg65679,rr,efe22e5cde3a259024cb04dae6bcbd,1
9,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","Based on Columbus law, force is proportional to q1 and q2. Based on the law, the red charge has a greater force. ",a1,arg65679,arg65930,arg65679_arg65930,rr,602b2eb28889083d1f656174d99d28,-1
10,Coulomb's law indicates that the magnitude of the charges is multiplied to get the total force on the objects (in this scenario assuming distance is the same for both options). ,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg65988,arg65679,arg65988_arg65679,rr,6f3e1a38b42392dca71ac84b89b818,1
11,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",Electric force is proportional to the product of the two charges. Since 2 is higher than 1 then the red charge experiences the greater electric force.,a1,arg65679,arg66024,arg65679_arg66024,rr,6f6ede27d685b8151f90f25755ef04,-1
12,"Electrical force is proportional to the product of the charges. Since 2 is bigger than 1, the red should have a greater electrical force.","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66025,arg65679,arg66025_arg65679,rr,30cf3bab881f2520b066ce70779c07,1
13,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",electric force is proportional to the product of the two charges. a greater charge difference exists amongst the red charge,a1,arg65679,arg66058,arg65679_arg66058,rr,b522fbb58dc17ebd898d946d316cfd,-1
14,"according to Coulomb's law, distance and q1 does not change and K is a constant, the magnitude of the force experienced in a will be greater than the force experienced in b by a factor of 2. ","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66073,arg65679,arg66073_arg65679,rr,90552fa0a7456a36dcb893b225920a,1
15,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",Coloumb's law refers to two point charges seperated by a distance r since there is only one charge in this circumstance the electric force due to the positively charged rod is the same for both charges.,a1,arg65679,arg66094,arg65679_arg66094,wr,230acc8039bba8b70b977c31312c95,-1
16,"Using Coulomb's law, we can see that the red charge repels more and thus has a greater force","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66145,arg65679,arg66145_arg65679,rr,d5e869d27e6619d0c52c27cdb10cf3,1
17,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","according to Coulomb's law?the charges of the rods are the same, so the greater the charge of the ball is, the greater electric force it experiences.",a1,arg65679,arg66213,arg65679_arg66213,rr,cb34f3d9d2d08ab7c0722700db3038,-1
18,"Based on the equal for the magnitude of the electric force, which indicates that the magnitude of the electric force is directly proportional to the product of two charges. Since the magnitude of the red charge is greater, its electric force should also be greater. ","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66240,arg65679,arg66240_arg65679,rr,9d9a2541f5086bf2dbb958d9100dd8,1
19,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","According to the Coulomb's law, F=kq1q2/r^2, the red charge experiences the greater force due to larger charge(they have the same distance).",a1,arg65679,arg66344,arg65679_arg66344,rr,7fa5a961f81ed70314cff2d5907c11,-1
20,"Since red has a higher charge, the overall electric force between the two will be higher, therefore resulting in a stronger electric force on red. ","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66347,arg65679,arg66347_arg65679,rr,3ac67b187ca3ec12ebf3b9b5ebbabd,1
21,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","Because both of them have the same distance from the rod,but the red one has larger positive electrons so it experiences the greater electric force.",a1,arg65679,arg66415,arg65679_arg66415,rr,df47942b1dee3230cf65e14cc0b36b,-1
22,The 2 positive charges of the red charge will repel the rod more than the single positive charge in the blue charge.,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66440,arg65679,arg66440_arg65679,rr,8d1878ce404251b1a2db7d9f2c4e80,1
23,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","The distance between both are the same. According to Coulomb's law, the red charge experiences larger electric force to the rod.",a1,arg65679,arg66524,arg65679_arg66524,rr,571883632e2ac18d5fc882fc6d5ea2,-1
24,"The force between two charges is proportional to the charges and inversely proportional to the square of the distance between them. Because the distance appears to be the same and the red charge is greater, the force on the red charge will be greater than the force on the blue charge. ","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66645,arg65679,arg66645_arg65679,rr,effc1fa48986c2f5cf80b957aa8c2e,1
25,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","This is because the red charge is greater than the blue charge, and it will repel the rod more. ",a1,arg65679,arg66687,arg65679_arg66687,rr,535290cac94875781636bd8f85d5ac,-1
26,"Since the charge on the red is greater, by Coulomb's Law, red will have a greater force experienced by the rod.","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66755,arg65679,arg66755_arg65679,rr,49ab6955e82103dceffcc20dbc3767,1
27,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","Since the absolute value of both charges must be multiplied by each other when calculating electric force, the red charge will experience greater force because it has a higher product.",a1,arg65679,arg66925,arg65679_arg66925,rr,51e84b92d08f5bed37b717c53fa601,-1
28,"According to Coulomb's law, the red charge will experience the greater electric force because it is a greater number and therefore the force will be larger ","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg66944,arg65679,arg66944_arg65679,rr,5534d4ed0f5412c52acabe5be83ce4,1
29,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","You would only consider the rod because it is q1 and the question is asking for the greater force due to the rod. Therefore, it would be the same.",a1,arg65679,arg67004,arg65679_arg67004,wr,085250d34b53f159a49a6e4e5c5729,-1
30,"By coulomb's Law, F is proportional to the multiple of Q1 and Q2, obviously a is bigger than b.","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg67073,arg65679,arg67073_arg65679,rr,e10d9c9f623af957d3f9cdbe4ffbd4,1
31,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",The red has a higher charge than the blue which means that it experiences a greater electric force from the rod.,a1,arg65679,arg67191,arg65679_arg67191,rr,df2e9f062ad3c3f7a89ce9524dcc86,-1
32,"The red charge is bigger than the blue charge, and with Coulomb's law calculation, we can determine that with bigger charges there is greater force.","According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg67196,arg65679,arg67196_arg65679,rr,0abb559d0c05871b2dfc994341fc40,1
33,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.","Looking at Coloumbs Law, we see that with the same radius but larger charges, the force will increase since r^2 can divide into the numerator more times. ",a1,arg65679,arg67255,arg65679_arg67255,rr,71db17afee323d44fcc2921bef99df,-1
34,Due to both of the charges being positive the repulsion of A would be greater than that of B,"According to Coulomb's Law if the charge on either object doubles then the force is also doubled, so despite being exposed to the same charged rod the red charge experiences a greater force due to the rod as the overall charge is higher.",a2,arg67315,arg65679,arg67315_arg65679,rr,e38c898930048283bfd875fbca08af,1
