,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,The electric field resulting from a charged object does not depend on the charge of objects experiencing electric force due to it.,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68065,arg40218,arg68065_arg40218,rr,d2c784179f1230dca760e736e1c15b,1
1,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",The magnitude of the electric field only depends on the charge of the source and the distance.,a1,arg40218,arg68129,arg40218_arg68129,rr,f25052a7788fbbb891a39d524ef6c3,-1
2,The electric field for a point charge is determined through E=(kQ)/r^2 . If they are both at the the same distance d from the rod then they have the same magnitude of electric field. ,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68169,arg40218,arg68169_arg40218,rr,5d5c9eeee8f714934b249eebfabd8b,1
3,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",Both charges feel the same as they are in the same point in space,a1,arg40218,arg68170,arg40218_arg68170,rr,fbc0e44f7a13d74f6016c9b1877f27,-1
4,"E=kQ/r^2 where k is the same for both, Q is +1 for both (the rod's charge), and r is the same for both (d). Hence, E is the same for both","The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68241,arg40218,arg68241_arg40218,rr,da3231695068ba111ce58a62e8022c,1
5,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",Because both of them are at the same distance from the rod so they have the same E-filed.,a1,arg40218,arg68269,arg40218_arg68269,rr,df47942b1dee3230cf65e14cc0b36b,-1
6,its the same for both because the charge of the rod is the same for both ,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68329,arg40218,arg68329_arg40218,rr,f93228ca643088ea4e0a661c17b065,1
7,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",E=kQ/r^2 and Q is the same for both scenarios.,a1,arg40218,arg68364,arg40218_arg68364,rr,ef3da73f45e56dc4f85c77ab03bf43,-1
8,"The magnitude of the electric field is dependent on the value of the charge that produces the field, not the test charge. Since the charged rod produces the electric field, and its magnitude is the same for both (a) and (b), the electric field experienced by both charges should be the same.","The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68379,arg40218,arg68379_arg40218,wr,6e82705d5a6148732bf94150ee324a,1
9,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",The electric field is not change by the charge,a1,arg40218,arg68398,arg40218_arg68398,rr,2183449d867b806af06cb4a1fc6cd5,-1
10,electric field is different from electric force. the electric field of the rod will be the same,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68422,arg40218,arg68422_arg40218,rr,11f1a8875488de92d068d9568ca86d,1
11,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",The magnitude of an electric field is directly proportional to q. So the greater charge should also have the greater electric field. ,a1,arg40218,arg68444,arg40218_arg68444,wr,6c7ff93013e9ce38ab53382646fd67,-1
12,"Base on the equation, the Q is same (+1). the distance r is same. so the electric field is same. 
Electric field is not affect by the charges in the field. ","The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68465,arg40218,arg68465_arg40218,rr,6d155df2cb70063c57503caca8b601,1
13,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",A will experience a greater electrical field as its magnitude is greater than B which will make its repelled electrical field more intense than that of B,a1,arg40218,arg68553,arg40218_arg68553,wr,4b14815b53d9ba671f68bde522f788,-1
14,"Since electric field is kQ/r^2, the +2 charge has greater Q, so it will experience  twice as great electric field.","The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68566,arg40218,arg68566_arg40218,wr,49ab6955e82103dceffcc20dbc3767,1
15,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",the rod will cause the same experience for both a and b,a1,arg40218,arg68632,arg40218_arg68632,rr,31443d2c46b275dc8d619925348c5f,-1
16,"since distances are the same, only consider the charge of the rods, and both rods have the same charge","The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68875,arg40218,arg68875_arg40218,rr,48c98e7937064bb3949da1c660339a,1
17,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ","the electric field is dependent on the charge of the rod ad the distance between the rod and the test particles. Thus, the charge of the test particle does not change the electric field. ",a1,arg40218,arg68931,arg40218_arg68931,rr,9c0c822100dfc0e658f25fb211d101,-1
18,the electric field the charges experienced is not matter with its own charge,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg68957,arg40218,arg68957_arg40218,rr,6969642f2a72a5f33c32a98b0b9d3e,1
19,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ","The charge is proportional with the electric field, so if the charge is greater, the electric field will be aswell",a1,arg40218,arg68977,arg40218_arg68977,wr,4f317126c5644e93399653d41dce4a,-1
20,There is no relationship between electric field and the charges . It only relates to the rod.,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg69039,arg40218,arg69039_arg40218,rr,ef19782cf9333eb6a5a608a66790e2,1
21,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",The red charge is greater so there will be greater repulsion,a1,arg40218,arg69056,arg40218_arg69056,wr,e6154ac4f91a91ed444edf18cd8cfa,-1
22,The electrical field force only depends on where the partical is in space.,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg69060,arg40218,arg69060_arg40218,rr,d13cd2372f708041af9bca82d45d49,1
23,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",the charge on the rod is equal.,a1,arg40218,arg69112,arg40218_arg69112,rr,36b6acf1252130cba97f5528f2f047,-1
24,Electric field does not depend on the charges of what are affected by the electric fields,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg69223,arg40218,arg69223_arg40218,rr,a8a0621f61349d2f092e229831f350,1
25,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",The electric field is not dependent on the charge of the object that experiences the field. ,a1,arg40218,arg69312,arg40218_arg69312,rr,de294ad56a908c224687631607160c,-1
26,"Because electric field is dependent on the charge that creates the electric filed, not the charge of the test charge, so the electric filed for both +2 and +1 charge should be the same. ","The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg69318,arg40218,arg69318_arg40218,rr,9d9a2541f5086bf2dbb958d9100dd8,1
27,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",the red charge is bigger than the blue charge,a1,arg40218,arg69334,arg40218_arg69334,wr,11dfc08e257b34e56ec80fa9f52563,-1
28,because they are at the same distance from the rod,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",a2,arg69450,arg40218,arg69450_arg40218,rr,7d74aafc6f4143740a99ce570485df,1
29,"The electric field at a distance d away from the charged rod is a property of the rod itself only, and does not depend on the blue or red charge's value. ",They both experience the same electric field since their at the same place in space.,a1,arg40218,arg69582,arg40218_arg69582,rr,dc19763c8a3a794c3d750446240f57,-1
