,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"The charged capacitor polarizes the dielectric. This reduces the electric field found between the two plates of the capacitors. In order to bring the electric field back to its original value, the capacitor will store more charge.","Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.",a2,arg80456,arg79708,arg80456_arg79708,rr,acddc4721f00de312d711ba5bc6120,1
1,"Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.","With the battery remaining to be attached to the capacitor, the voltage across the plates will remain the same, more charge will accumulate on the plates thus resulting in a greater capacitance. ( C=Q/V) Capacitor with dielectric is equal to k times C(without the dielectric) . Since k is 3, the capacitance will increase by a factor of 3.",a1,arg79708,arg80610,arg79708_arg80610,rr,49ab6955e82103dceffcc20dbc3767,-1
2,"When a dielectric is slid, it has a certain dielectric constant which is greater than that of air, thus q=cv and c can be determined. When a dielectric is slid, the electrons that are tightly bound in the material form a dipole in the substance, balancing the charge of opposite plate and more charge can now be mounted on plate, so q increases and c increases","Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.",a2,arg80884,arg79708,arg80884_arg79708,rr,fcfda819c48edfa7d1700fd21ae587,1
3,"Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.",With the dielectric inserted the polarization of the molecules will cancel out some of the charge form the capacitor plates but the battery wants to keep the attached plates at the same charge therefore the capacitor can store more charge,a1,arg79708,arg82520,arg79708_arg82520,rr,754a94af492f5a2a02564805a0c5eb,-1
4,"From the relation if V stays constant, but C increases, Q must increase
as well. As the dielectric is inserted, more charge will be pulled from the battery
and deposited onto the plates of the capacitor as its capacitance increases.","Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.",a2,arg82939,arg79708,arg82939_arg79708,rr,77e041b1d123dfb4c2770dc7d4cc21,1
5,"Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.","When a dielectric has slid the electrons that are tightly bound in the material form a dipole in the substance thus balancing the charge of the opposite plate and thus more charge can now be mounted on the plate, thus q increases and c increases.",a1,arg79708,arg82942,arg79708_arg82942,rr,be4c9bfbb9ec07e05df9632c5f9c8b,-1
6,"Because the capacitor is still connected to the battery, the voltage remains constant. 

The formula Q=CV then tells us that the only variable in this equation that changes is now C and Q, and proportionally to each other. This means that with if K increases by 3 and K = C/Co, then Q must also increase by 3.","Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.",a2,arg83641,arg79708,arg83641_arg79708,rr,6fdca0c9e8ed8eb059b8e5bc203ad3,1
7,"Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.",The charge of the plates is not affected by a dielectric. Only the capacitance of the capacitor as well as the voltage between the two plates is affected by the addition of the dielectric. The charge of the plates remains constant. ,a1,arg79708,arg83885,arg79708_arg83885,wr,5d5c9eeee8f714934b249eebfabd8b,-1
8,"If the capacitor remains connected to a battery, the voltage across the plates does not change. Inserting a dielectric always increases the capacitance and since C and Q are directly proportional, as C increases by 3, Q also increases by 3.","Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.",a2,arg84113,arg79708,arg84113_arg79708,rr,10ec8e3a50e029f1050a03bbf9710b,1
9,"Because the capacitor remains connected to the battery while we slide in the dielectric, the case qualifies as a ""dielectrics at constant voltage"".
In this type of situation, we have that Q/Qinitial=k, where k is the dielectric constant. 
Thus, 3=Q/Qinitial. 
This gives us that Q=3Qinitial; that is, the charge stored in the capacitor increases by 3.",he electric field stays the same in the capacitor after insertion of the dielectric because the applied voltage is constant. This is accomplished by the increase in positive and negative areal charge on the plates of the capacitor which is provided by the battery.,a1,arg79708,arg84994,arg79708_arg84994,wr,2f58c1d663ea48ce291b15c1337ed5,-1
