,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,Q remains unchanged and equal to c0v0=cv,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg79529,arg61289,arg79529_arg61289,rr,ad3b8e552df69a50fe67b42f7b70bd,1
1,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",C is 3 times larger than before so V is one third less than before,a1,arg61289,arg79755,arg61289_arg79755,rr,df47942b1dee3230cf65e14cc0b36b,-1
2,Q does not change while C increases by 3,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg79968,arg61289,arg79968_arg61289,rr,f906081ec90b99ecccceeb9eaf3715,1
3,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",I am not sure if its 3Vo or Vo/3,a1,arg61289,arg80011,arg61289_arg80011,rr,a8d8c871dbac0be11c50b49c7e9aa2,-1
4,Same as previous question except here Q remains the same and V changes,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg80568,arg61289,arg80568_arg61289,rr,243d151030e57173a0cdb8e2b7e62c,1
5,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",Use the equations to find the magnitudes ,a1,arg61289,arg80777,arg61289_arg80777,rr,5a3c3bba27fa8e6632e503a644e3c8,-1
6,"The capacitance of a parallel plate capacitor is given by: C_0= E_0/d and in the presence of a dielectric of constant 3, C= 3C_0
Also, V= Q_0/C= V_0/3","Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg80897,arg61289,arg80897_arg61289,rr,fcfda819c48edfa7d1700fd21ae587,1
7,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",the smaller the separation between plates the greater the attraction,a1,arg61289,arg81058,arg61289_arg81058,rr,bcdf4b9faa1d4fa24982a759e7864d,-1
8,"Since it is disconnected to the battery, the dielectric, by increasing capacitance, decreases the voltage across the capacitor.","Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg81223,arg61289,arg81223_arg61289,rr,3b1afa3897ec702094f2c3852c5776,1
9,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ","C/C0 = E0/E = k

k=3, therefore C = 3C0 and E = 1/3E0, since V0=E0d  then V=Ed and V would be 1/3V0",a1,arg61289,arg81341,arg61289_arg81341,rr,da3231695068ba111ce58a62e8022c,-1
10,"V0=Q/3C
C=E0kA/d when k is multiplied by 3, C will be multiplied by 3
","Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg81363,arg61289,arg81363_arg61289,rr,5a7b8d2b226cedd8c8e83968f072d0,1
11,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",since charge is constant then k=C/Co=Vo/V. since Co and Vo are constant then k=CV. This direct relationship causes both Co and Vo to be tripled,a1,arg61289,arg81752,arg61289_arg81752,wr,3a813cea35613729b5370754f7fa68,-1
12,"Since battery is disconnected, the charge will stay the same. With the dielectric constant equals to 3, capacitance automatically increases by 3 and voltage decreases by 3.","Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg82063,arg61289,arg82063_arg61289,rr,818a9a04e5e57b2a102eefd364c138,1
13,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ","once battery is disconnected, the voltage will remain the same. The diaelectric that is added will reduce voltage by 3 since the constant is 3. And diaelectric will also increase the capacitance since it reduces voltage. ",a1,arg61289,arg82090,arg61289_arg82090,rr,11f1a8875488de92d068d9568ca86d,-1
14,"using the equations given, you can set equal and solve for in the case of a capacitor added. ","Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg82426,arg61289,arg82426_arg61289,rr,0bfbcb4ca46aae369c7ad5697b8d9f,1
15,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",the capacitance increases with the dielectric constant and the potential difference decreas,a1,arg61289,arg82601,arg61289_arg82601,rr,249f30e9893974e82984cf832ad888,-1
16,dielectric increases capacitance because C=E*A/d and V decreases because electric field decreases,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg82807,arg61289,arg82807_arg61289,rr,2de9909ff87809046a3fe88fcd465e,1
17,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ","When there is no battery, voltage decreases while capacitance increases by k",a1,arg61289,arg82881,arg61289_arg82881,rr,602b2eb28889083d1f656174d99d28,-1
18,"Since the battery is disconnected, then the charge stay the same. The addition of dielectric will cause some potential difference to decrease so the net capacitance goes up.","Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg82903,arg61289,arg82903_arg61289,rr,be82d6a7d7eab4ff1a9d730353eef6,1
19,"Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ","so if Q stays constant
and C increases (it is in the denominator), then V decreases.",a1,arg61289,arg82940,arg61289_arg82940,rr,77e041b1d123dfb4c2770dc7d4cc21,-1
20,"C increases with dielectric and E decreases, so V = Ed decreases","Since the capacitance ratio for a dielectric constant of K is C/C0 = K, then the capacitance will increase, meaning the voltage V_0 = Q_0 / C_0 will decrease, by a factor of 3. ",a2,arg82960,arg61289,arg82960_arg61289,rr,30135b27b827ccdb5ebe6eafb2b1d1,1
