,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,Guess,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.",a2,arg72055,arg59035,arg72055_arg59035,rr,d49aaa9e4a8695e1e981baac26087e,1
1,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.",use the formula and the potential energy difference is positive,a1,arg59035,arg72069,arg59035_arg72069,rr,ad3b8e552df69a50fe67b42f7b70bd,-1
2,Because according to the formula we need to know the charge (positive or negative).,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.",a2,arg72100,arg59035,arg72100_arg59035,wr,68396f693f5ef60a6de443aaa93ce1,1
3,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.", ,a1,arg59035,arg72284,arg59035_arg72284,wr,04c0f717972dedb2db2f616b99117b,-1
4,nn,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.",a2,arg72719,arg59035,arg72719_arg59035,rr,1fb9b74d4e8887408717fad6e3168f,1
5,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.", ,a1,arg59035,arg72783,arg59035_arg72783,rr,f93228ca643088ea4e0a661c17b065,-1
6,egwgwg,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.",a2,arg73019,arg59035,arg73019_arg59035,rr,f5de3be167c2e263e3164ff2d83d47,1
7,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.","As the equation of U(A) and U(B) is -qEd and the charge is negative, the delta U will be positive. ",a1,arg59035,arg73118,arg59035_arg73118,rr,4f317126c5644e93399653d41dce4a,-1
8,"U=-E(q)(d) 
In this case q is positive, d is negative. Two negative signs cancel each other, so the product becomes positive. ","Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.",a2,arg73664,arg59035,arg73664_arg59035,rr,9d9a2541f5086bf2dbb958d9100dd8,1
9,"Delta U is given by qDeltaV. Since q is negative, and DeltaV is also negative, since DeltaV=-Fd/q, then U is positive.",A is at a higher level of potential energy than A is,a1,arg59035,arg73912,arg59035_arg73912,rr,27662fc7d45f9a3bcd9f1fdd69bd94,-1
