,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"P=I^2R and if it is connected to the same circuit, the current is constant so P is directly proportional to R.","We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",a2,arg88171,arg65490,arg88171_arg65490,ww,005762fb8b37afea2793f142f145ac,1
1,"We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",A higher resistance means more energy transformed. ,a1,arg65490,arg88937,arg65490_arg88937,ww,b5759b94e1c22929d3c6b3b2b6527d,-1
2,"Power = voltage^2/resistance. In a parallel circuit, each light bulb should have the same potential difference (voltage). If a bulb has a higher power, it should have a lower resistance. Therefore, the 25W bulb has a higher resistance. ","We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",a2,arg89266,arg65490,arg89266_arg65490,rw,83c93cdad532bbfb99666ff72db404,1
3,"We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ","P=I^2R. I is equal in both cases, therefore R must be larger for the lightbulb with power 100W.",a1,arg65490,arg90034,arg65490_arg90034,ww,bf9c688799bd0587f7eabab4295383,-1
4,"If you let the current be 1A, and then plug that into P=I^2R, you will get that the resistance for the 100W bulb is 100 ohms, whereas the resistance for the 25W bulb is only 25 ohms.","We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",a2,arg90155,arg65490,arg90155_arg65490,ww,5d4a3241893eba4d2f8cb93ba20291,1
5,"We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",.because the second one has lower current through,a1,arg65490,arg90758,arg65490_arg90758,ww,6969642f2a72a5f33c32a98b0b9d3e,-1
6,"Because P equals I square times R, since I is constant, the resistant of 100 w is greater than that of 25 w","We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",a2,arg219142,arg65490,arg219142_arg65490,ww,53494458e1973196eec62797b3549b,1
7,"We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ","In a constant current scenario, such as your home, power and resistance are directly proportional, so the 100W bulb would have a higher resistance.",a1,arg65490,arg219273,arg65490_arg219273,ww,a2bf74cf48e8806822e818fd949b97,-1
8,"We know that P=(I^2)*R, hence R=P/(I^2). And since the two light bulbs are both operating in the same house, they have the same current I. so the bulb with the highest power will have the highest resistance.","We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",a2,arg219450,arg65490,arg219450_arg65490,ww,7d081eaafa2f3b649a2db468cfe24c,1
9,"We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ","If P=(I^2)*R or P=(V^2)*R, then R=P/(I^2) or R=P/(R^2). Since they're both operating at your home, they most likely share a V and an I. As such, a higher P should have a higher R since they are proportional.",a1,arg65490,arg220133,arg65490_arg220133,ww,991772f2e0a64535f1ca85611cf669,-1
10,We use the equations P=IV and plug in values. The 100W bulb will have a higher resistance,"We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",a2,arg220173,arg65490,arg220173_arg65490,ww,ffcbcac1c52b05ae191bd2691fcb28,1
11,"We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",Because the power is directly proportional to the resistance when the current is constant okay,a1,arg65490,arg250951,arg65490_arg250951,ww,335f1e36741571e0565cb4568d9c81,-1
12,"Since power is directly proportional to resistance, (R=IP), then a higher wattage lightbulb will also have higher resistance.","We know that P = I^2 R, so for a higher power and fixed current, the resistance must also be higher. Therefore, the 100W bulb has greater resistance than its 25W counterpart ",a2,arg251090,arg65490,arg251090_arg65490,ww,b2b54be4fc9919722d2f89ed3b4041,1
13,"the light bulbs are connected in parallel so they receive the same voltage. since P=IV and is different for both light bulbs, and v= IR, the resistance must change in order to keep V constant.  
since 100 W bulb has a higher power, it has a higher current, thus a lower resistance to keep V the same.","Using the power formula P=V^2/R, rearranged as R=V^2/P, since the voltage remains the same for all household appliances, the resistance for the 25W bulb will be much greater.",a1,arg87006,arg87293,arg87006_arg87293,rr,f277e27b0b9f9b9d37fcae54939ac0,-1
14,"Using V=IR and P=VI, while assuming the voltage is constant, a light bulb with higher power has higher current flowing through it. This means that if current is high, resistance is low. Thus the light bulb with lower power has higher resistance.","the light bulbs are connected in parallel so they receive the same voltage. since P=IV and is different for both light bulbs, and v= IR, the resistance must change in order to keep V constant.  
since 100 W bulb has a higher power, it has a higher current, thus a lower resistance to keep V the same.",a2,arg87489,arg87006,arg87489_arg87006,rr,27dbf9b08846ea5211410ff653cb71,1
15,"the light bulbs are connected in parallel so they receive the same voltage. since P=IV and is different for both light bulbs, and v= IR, the resistance must change in order to keep V constant.  
since 100 W bulb has a higher power, it has a higher current, thus a lower resistance to keep V the same.","The 25 W bulb will have a higher resistance; this can be calculated from R=V^2/P, where V=120 V. The resistance of the 25W bulb is 576 ohms, while the resistance of the 100W bulb is 144 ohms. ",a1,arg87006,arg87582,arg87006_arg87582,rr,6e82705d5a6148732bf94150ee324a,-1
16,"assuming they are operating in a home that has the same voltage for both bulbs, then P=V^2/R
25W is a smaller value so the R must've been larger than the 100 W bulb","the light bulbs are connected in parallel so they receive the same voltage. since P=IV and is different for both light bulbs, and v= IR, the resistance must change in order to keep V constant.  
since 100 W bulb has a higher power, it has a higher current, thus a lower resistance to keep V the same.",a2,arg87987,arg87006,arg87987_arg87006,rr,11f1a8875488de92d068d9568ca86d,1
17,"the light bulbs are connected in parallel so they receive the same voltage. since P=IV and is different for both light bulbs, and v= IR, the resistance must change in order to keep V constant.  
since 100 W bulb has a higher power, it has a higher current, thus a lower resistance to keep V the same.","Assuming that the voltage remains the same for both light bulbs, then the 25 W bulb experiences a greater resistance as a result of the formula P=IV=(V)^2/R. A decreased resistance results in an increased calculation for power.",a1,arg87006,arg89573,arg87006_arg89573,rr,5d5c9eeee8f714934b249eebfabd8b,-1
18,"If you rearrange the equation P=(V^2)/R to the form R=(V^2)/P you can see that if the assumption that voltage is constant which it is in a household then as power increases, resistance decreases. Therefore, the 25 W lightbulb will have higher resistance.","the light bulbs are connected in parallel so they receive the same voltage. since P=IV and is different for both light bulbs, and v= IR, the resistance must change in order to keep V constant.  
since 100 W bulb has a higher power, it has a higher current, thus a lower resistance to keep V the same.",a2,arg89901,arg87006,arg89901_arg87006,rr,dc19763c8a3a794c3d750446240f57,1
19,"the light bulbs are connected in parallel so they receive the same voltage. since P=IV and is different for both light bulbs, and v= IR, the resistance must change in order to keep V constant.  
since 100 W bulb has a higher power, it has a higher current, thus a lower resistance to keep V the same.","P=IV V are the same, with greater I, the P is greater, which means P=100W has a higher I. since R=V/I, as I getting large, resistance getting smaller. P=100w has a greater I which means it has a smaller R",a1,arg87006,arg215687,arg87006_arg215687,rr,6858ee238a2d7657b2b6cd66caaf47,-1
20,"With the formula R=v^2/P, we can find that Resistance is inversely proportional to the power. We can also put numbers to this to solve for it, assuming a steady 120 Volts for household power.","the light bulbs are connected in parallel so they receive the same voltage. since P=IV and is different for both light bulbs, and v= IR, the resistance must change in order to keep V constant.  
since 100 W bulb has a higher power, it has a higher current, thus a lower resistance to keep V the same.",a2,arg218552,arg87006,arg218552_arg87006,rr,a055072aad888728f3ce8658483068,1
