,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,Using Kirchoff's Law for Loop AFEDCBA,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg97962,arg61437,arg97962_arg61437,rr,8841b6dc3b72bf3716349e4389f5c2,1
1,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.","80V -I1(21) + 45V-I2(41) 

125 V -21i1 - 41i2 = 0",a1,arg61437,arg98143,arg61437_arg98143,rr,da3231695068ba111ce58a62e8022c,-1
2,"at every battery, there is an increase in voltage since we are going from the negative to the positive","Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg98146,arg61437,arg98146_arg61437,rr,11f1a8875488de92d068d9568ca86d,1
3,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",The loop has two connected batteries which give a combined 125V because the currents are flowing in the same direction.  Every resistor in the circuit is subtracted from the total voltage in order to equal 0 once the circuit has returned to the battery.,a1,arg61437,arg98355,arg61437_arg98355,rr,f277e27b0b9f9b9d37fcae54939ac0,-1
4,"+V when going through battery, -V when going through resistors","Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg98626,arg61437,arg98626_arg61437,rr,a4efbb59c3f3cc914065e25300dae6,1
5,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.","It goes in the direction of the current, so it must be negative. ",a1,arg61437,arg98701,arg61437_arg98701,rr,884debf95cc0a5bf99880054dfee9e,-1
6,"The V1 and V2 are in series, so that there voltage should be added; and the four resistor consume the power together, so that 125V - 21*I1 - 41*I2.","Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg98732,arg61437,arg98732_arg61437,rr,637ecb1b8c33e7098073b0d6996d67,1
7,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",junction rule and loop rule and ohms law applied,a1,arg61437,arg98749,arg61437_arg98749,rr,42e8ed12f03ac0a55f34da32e62588,-1
8,starting at A we summed the potentials going around the circuit.,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg98756,arg61437,arg98756_arg61437,rr,4891290638da800bf0bee8f59fe931,1
9,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.","look at the bottom loop which contains both I1 and I2
use loop rule and simplify the equation",a1,arg61437,arg98935,arg61437_arg98935,rr,8be59e6d242c06e9d44534efacfad5,-1
10,"when applying the loop rule and junction rule, this will be 125 V (from 80+45) -21(I_1)-41(I_2) =0 ","Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg99296,arg61437,arg99296_arg61437,rr,fcfda819c48edfa7d1700fd21ae587,1
11,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.","Along the direction of the current, electric potential drops",a1,arg61437,arg99466,arg61437_arg99466,rr,f906081ec90b99ecccceeb9eaf3715,-1
12,rises - drops = 0. The rises are 80V and 45 V. The drops are 21(I1) and 41(I2),"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg99501,arg61437,arg99501_arg61437,rr,bffc162e2eb2d70a19549c2c5e46aa,1
13,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",This is right one because in the resistances the current and the path are in the same direction which makes the difference when summing the hall voltage ,a1,arg61437,arg99506,arg61437_arg99506,rr,5a7b8d2b226cedd8c8e83968f072d0,-1
14,Voltages add since current flows in opposite direction and -IR for each resistor on the loop according to Kirchoff's rule. ,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg99552,arg61437,arg99552_arg61437,rr,6f3e1a38b42392dca71ac84b89b818,1
15,"Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",Path of the loop is the same direction as the current means it's a negative voltage.,a1,arg61437,arg100456,arg61437_arg100456,rr,818a9a04e5e57b2a102eefd364c138,-1
16,"Add voltages together. When going with current, you subtract each current. Vice versa.","Using the loop rule, we can find that the potential values across the loop give 80V - I1(1Ohm) - I1(20Ohm) +45V - I2(1Ohm) - I2(40Ohm) = 0 which gives us the answer B.",a2,arg100486,arg61437,arg100486_arg61437,rr,0dd25bf4271022a430f458130d935a,1
