,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,Kirchhoff’s loop rule.,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg97885,arg61442,arg97885_arg61442,rr,f25052a7788fbbb891a39d524ef6c3,1
1,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",Kirchhoff loop rule,a1,arg61442,arg97886,arg61442_arg97886,rr,ad3b8e552df69a50fe67b42f7b70bd,-1
2,Using Kirchoff's Law for Loop ABCDGA,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg97964,arg61442,arg97964_arg61442,rr,8841b6dc3b72bf3716349e4389f5c2,1
3,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",because,a1,arg61442,arg98028,arg61442_arg98028,rr,0dbba8d5e2eb39052c158ddb41ba1e,-1
4,guess,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg98056,arg61442,arg98056_arg61442,rr,d49aaa9e4a8695e1e981baac26087e,1
5,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",drops in potential,a1,arg61442,arg98091,arg61442_arg98091,rr,9eb509eef951a45a4075e57c2b5584,-1
6,...ummmm,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg98108,arg61442,arg98108_arg61442,rr,fa0f35ae23b3b0e8dbe55ef2a385fb,1
7,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0","we are only going across one battery so positive 80 V
for every resistor, since we are going in the same direction as I, the potential is negative",a1,arg61442,arg98149,arg61442_arg98149,rr,11f1a8875488de92d068d9568ca86d,-1
8,that's just the case,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg98172,arg61442,arg98172_arg61442,rr,cb34f3d9d2d08ab7c0722700db3038,1
9,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",Loop rule,a1,arg61442,arg98232,arg61442_arg98232,rr,e265bb42a02be17d0b3a55e05483b2,-1
10,loop rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg98338,arg61442,arg98338_arg61442,rr,b4a4743ac53c4aa6e8a7e1d32c0a87,1
11,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",use the formula,a1,arg61442,arg98372,arg61442_arg98372,rr,7d74aafc6f4143740a99ce570485df,-1
12,"junction rule
","Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg98499,arg61442,arg98499_arg61442,rr,6fb127fcdb60bd558f359ca4d9a6c9,1
13,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",loop rule,a1,arg61442,arg98516,arg61442_arg98516,rr,eec6865577da32ed55c57e306e165b,-1
14,because i said so,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg98522,arg61442,arg98522_arg61442,rr,efe22e5cde3a259024cb04dae6bcbd,1
15,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",use loop rule,a1,arg61442,arg98539,arg61442_arg98539,rr,3962319de8a4da9a4d63bd889e1904,-1
16,Loop rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg98629,arg61442,arg98629_arg61442,rr,a4efbb59c3f3cc914065e25300dae6,1
17,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",only V1 supply the power.,a1,arg61442,arg98734,arg61442_arg98734,rr,637ecb1b8c33e7098073b0d6996d67,-1
18,Loop rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg98771,arg61442,arg98771_arg61442,rr,f08589c6ed21c67f81cd8084270a79,1
19,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",kirkoff law,a1,arg61442,arg98904,arg61442_arg98904,rr,293989c95cfc2fe9cd72b018bfe558,-1
20,Kirchhoff’s rules,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg99016,arg61442,arg99016_arg61442,rr,09f2667b54e6c85fd61b43f44c0040,1
21,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",Where is G? Please label this properly. ,a1,arg61442,arg99133,arg61442_arg99133,rr,6c7ff93013e9ce38ab53382646fd67,-1
22,                                   ,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg99226,arg61442,arg99226_arg61442,rr,ef19782cf9333eb6a5a608a66790e2,1
23,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",        ,a1,arg61442,arg99227,arg61442_arg99227,rr,a66134f9d8778e1bb21588175be50b,-1
24,"According to Kirchhoff's current law, the voltage in this case would remain 80 V (V_1) while subtracting the current values ","Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg99285,arg61442,arg99285_arg61442,rr,fcfda819c48edfa7d1700fd21ae587,1
25,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0","Assuming the G point is at the furthest branch, it will be C",a1,arg61442,arg99397,arg61442_arg99397,rr,27dbf9b08846ea5211410ff653cb71,-1
26,Because why not?,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg99405,arg61442,arg99405_arg61442,rr,602b2eb28889083d1f656174d99d28,1
27,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",kirchoff rule,a1,arg61442,arg99454,arg61442_arg99454,rr,93aa0a28754fd549af867981464f7a,-1
28,Where is G tho,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg99469,arg61442,arg99469_arg61442,rr,f906081ec90b99ecccceeb9eaf3715,1
29,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",The current and the path are in the same direction wich mean in the sum of the voltage we will need to sustract the all the potential energy that contains a resistance ,a1,arg61442,arg99535,arg61442_arg99535,rr,5a7b8d2b226cedd8c8e83968f072d0,-1
30,kirchhoff's rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg99631,arg61442,arg99631_arg61442,rr,3cb1bcf49a5156777764cd4cade4e0,1
31,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",using appropriate formulas,a1,arg61442,arg99809,arg61442_arg99809,rr,31443d2c46b275dc8d619925348c5f,-1
32,"rationale
","Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg99894,arg61442,arg99894_arg61442,rr,44dba35eb055a5637d317497c7c64e,1
33,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",loop rule,a1,arg61442,arg99917,arg61442_arg99917,rr,020871b408828091702497a9b61b70,-1
34,Loop rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100258,arg61442,arg100258_arg61442,rr,b5a890f6a8b02d602063bea4db113d,1
35,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",V-  IR5-  I1R4 = 0,a1,arg61442,arg100336,arg61442_arg100336,rr,587c8fe7fc6ab1fda9cbbe1f163394,-1
36,yeehaw,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100397,arg61442,arg100397_arg61442,wr,1d8e7f98b060d7034580469f1fa4cc,1
37,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0","By theory, theres a decrease in potential when the path is in the same direction as the path of current.",a1,arg61442,arg100459,arg61442_arg100459,rr,818a9a04e5e57b2a102eefd364c138,-1
38,skip middle line ,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100477,arg61442,arg100477_arg61442,rr,2712dfe59e3a387aa473f6269727f8,1
39,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",Math ,a1,arg61442,arg100491,arg61442_arg100491,rr,04212d5fb7cf609d17a01f9961ea78,-1
40,We subtract current when going with current,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100492,arg61442,arg100492_arg61442,rr,0dd25bf4271022a430f458130d935a,1
41,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",Loop rule,a1,arg61442,arg100493,arg61442_arg100493,rr,7a1a1545bc7a17592bbf14123c0350,-1
42,loop rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100541,arg61442,arg100541_arg61442,rr,c5147c1b67c49927d6b7ef44c8749e,1
43,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",.....,a1,arg61442,arg100656,arg61442_arg100656,rr,c4f1f13a7bdbe82ea03277a5342944,-1
44,kirchoff's law ,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100659,arg61442,arg100659_arg61442,rr,5a4e248e3dbddc2c4553b28ad236ab,1
45,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0","first battery, minus all the other ones IR",a1,arg61442,arg100760,arg61442_arg100760,rr,da5966d07d4dd27ec2bad6c3a608d6,-1
46,Because it is a loop.,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100844,arg61442,arg100844_arg61442,rr,8395773f45d7ef631e74a152a7e8d1,1
47,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",Loop,a1,arg61442,arg100921,arg61442_arg100921,rr,73be3085ed91bbb171c015ceaad965,-1
48,"According to the loop rule, the total change of electrical potential is 0. Since the path is in the same direction with the current, we get a -IR. Since the path is from the negative terminal to the positive terminal of the battery, we get a +v.","Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100942,arg61442,arg100942_arg61442,rr,02729dad98b5d98fa9e784a4af701f,1
49,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",voltage rule,a1,arg61442,arg100993,arg61442_arg100993,rr,fab821d5570fb19559ebed57bfa414,-1
50,..........,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg100999,arg61442,arg100999_arg61442,rr,f8c7fdff3431ded4c53133b176ca23,1
51,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",Loop rule ,a1,arg61442,arg101110,arg61442_arg101110,rr,3ac67b187ca3ec12ebf3b9b5ebbabd,-1
52,Both I1 and I3 are negative,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg101188,arg61442,arg101188_arg61442,wr,169434956d85d729300dd8435a8e3c,1
53,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",ayyyyyyyyyyyyyyy,a1,arg61442,arg101218,arg61442_arg101218,rr,37253c50abffa447480d37cb20f7d7,-1
54,use the rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg101224,arg61442,arg101224_arg61442,rr,e8797b5abf079b9a414b30e1574987,1
55,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",view slides,a1,arg61442,arg101254,arg61442_arg101254,rr,11dfc08e257b34e56ec80fa9f52563,-1
56,Ahhaha,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg101307,arg61442,arg101307_arg61442,rr,42aea1e99ebd3e6aa5b1d7e58b6de8,1
57,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",where is G? ,a1,arg61442,arg101419,arg61442_arg101419,wr,a4109e31caa154f6b4c66728b01ff7,-1
58,kirchhoff's loop rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg101438,arg61442,arg101438_arg61442,rr,0871694b8566d9291d1461549d690c,1
59,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",loop rule,a1,arg61442,arg101497,arg61442_arg101497,rr,6969642f2a72a5f33c32a98b0b9d3e,-1
60,Using the loop rule!,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg101561,arg61442,arg101561_arg61442,rr,9c0c822100dfc0e658f25fb211d101,1
61,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",i  think so,a1,arg61442,arg101589,arg61442_arg101589,rr,a0cd456c0cddb1953373e34c169a1d,-1
62,Same idea as question before ,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg101594,arg61442,arg101594_arg61442,rr,ac526d118a314db1aa024d9354fd8f,1
63,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",the direction are the same,a1,arg61442,arg101674,arg61442_arg101674,rr,d9eac52461418da092e58cda1b5c4a,-1
64,80V - 21*I1 - 30*I3 = 0 using Kirchhoff's loop rule,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg101705,arg61442,arg101705_arg61442,rr,085250d34b53f159a49a6e4e5c5729,1
65,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",Has to end up w/ 0,a1,arg61442,arg101786,arg61442_arg101786,rr,c765d1c99b80ecdf3f96f19e42f4d4,-1
66,kirchoff's law,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",a2,arg101797,arg61442,arg101797_arg61442,rr,2550f335403b6960ece49e5c45f5aa,1
67,"Using the loop rule, we can calculate the potentials around the loop to find 80V - I1(1Ohm) - I1(20Ohm) - I3(30Ohm) = 0",the components of that loop,a1,arg61442,arg101832,arg61442_arg101832,rr,0bfbcb4ca46aae369c7ad5697b8d9f,-1
