,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"same current , different voltage",According to Kirchhoff's current  law the current is the same in circuit in series ,a2,arg41425,arg41325,arg41425_arg41325,rr,180827b519ece338c17a4aaf92323a,1
1,According to Kirchhoff's current  law the current is the same in circuit in series ,The potential difference will always remain the same,a1,arg41325,arg41489,arg41325_arg41489,wr,38b373ae9d8554d74e7b24a36b0e48,-1
2,Current stays constant in series. ,According to Kirchhoff's current  law the current is the same in circuit in series ,a2,arg42543,arg41325,arg42543_arg41325,rr,2d228157b04a12a1e5bb4cc245174f,1
3,According to Kirchhoff's current  law the current is the same in circuit in series ,"Circuits connected in series all share the same current, but they do not have the same voltage.",a1,arg41325,arg221599,arg41325_arg221599,rr,1d8dc023027c8674ca997de0fa1344,-1
4,"As they both carry the same voltage, Ohms law applies for V=RI, therefore I is greater for the one with the smallest resistance",According to Kirchhoff's current  law the current is the same in circuit in series ,a2,arg221616,arg41325,arg221616_arg41325,wr,ddc51bf9f61fc67aa30be2f1093107,1
5,According to Kirchhoff's current  law the current is the same in circuit in series ,"since V=IR, the resistance is different, thus across each resistor the voltage drop is different. however to compensate, the current is the same in series.",a1,arg41325,arg222026,arg41325_arg222026,rr,1044064c52c8d8fadac14c6ab8f474,-1
6,"In a circuit with resistors in series, the same current flows through both of the resistors.",According to Kirchhoff's current  law the current is the same in circuit in series ,a2,arg222945,arg41325,arg222945_arg41325,rr,dbe17234be0a375736c0231b0d4135,1
7,According to Kirchhoff's current  law the current is the same in circuit in series ,"The same current flows through each resistor in series so C is correct. Because same current flow in each resistor, A and B are incorrect. E is incorrect because the potential difference is depend on the resistance of each resistor.",a1,arg41325,arg222961,arg41325_arg222961,rr,30c581413f5fa5987343bfffd1fe0a,-1
8,"If a circuit is connected to a battery the same current flows through each resistor, because the circuit consists of one branch only.",According to Kirchhoff's current  law the current is the same in circuit in series ,a2,arg222969,arg41325,arg222969_arg41325,rr,eccabdd8ef2b229e60074231140b40,1
9,According to Kirchhoff's current  law the current is the same in circuit in series ,the current across resistors connected in series is the same,a1,arg41325,arg224487,arg41325_arg224487,rr,e27b0b8a91caf90587025552b644c1,-1
10,"Current is the same through all resistors when they are in series, this is how series circuits work",According to Kirchhoff's current  law the current is the same in circuit in series ,a2,arg224638,arg41325,arg224638_arg41325,rr,6a1332cb4432c3792bb56da1d0dd84,1
11,According to Kirchhoff's current  law the current is the same in circuit in series ,the current is the same in each resisitor because it is the same,a1,arg41325,arg225773,arg41325_arg225773,rr,be1227599e4483d6e9b252823610ca,-1
12,"In a series circuit, the electric current is the same for each resistor.",According to Kirchhoff's current  law the current is the same in circuit in series ,a2,arg225850,arg41325,arg225850_arg41325,rr,66daf5954968569b2c8bc2d6f60b87,1
