,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,e^infinity = 0 ,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",a2,arg106671,arg61449,arg106671_arg61449,rr,df2e9f062ad3c3f7a89ce9524dcc86,1
1,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C","after an infinite amount of time, the voltage of the capacitor is going to be V0.According to Q=C*V,the Q will be C*V0",a1,arg61449,arg107192,arg61449_arg107192,rr,a25d5a396a170eac7848f8b2679bd9,-1
2,according to the equation,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",a2,arg107475,arg61449,arg107475_arg61449,rr,9eb509eef951a45a4075e57c2b5584,1
3,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C","of course a
",a1,arg61449,arg107871,arg61449_arg107871,rr,2183449d867b806af06cb4a1fc6cd5,-1
4,that's just the case,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",a2,arg107906,arg61449,arg107906_arg61449,rr,cb34f3d9d2d08ab7c0722700db3038,1
5,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",t would get infinitely large,a1,arg61449,arg108056,arg61449_arg108056,wr,29c5691a9d53d64a540bff1b605681,-1
6,using the equation,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",a2,arg108078,arg61449,arg108078_arg61449,rr,0bfbcb4ca46aae369c7ad5697b8d9f,1
7,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C","Once the capacitor is completely charged, no more current flows through the circuit which means final charge equals the initial voltage times capacitance.",a1,arg61449,arg108126,arg61449_arg108126,rr,818a9a04e5e57b2a102eefd364c138,-1
8,t approach infinity,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",a2,arg108138,arg61449,arg108138_arg61449,rr,b4a4743ac53c4aa6e8a7e1d32c0a87,1
9,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",When time is infinite the formula is VC,a1,arg61449,arg108175,arg61449_arg108175,rr,6969642f2a72a5f33c32a98b0b9d3e,-1
10,charge is maximized so Qo= VoC,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",a2,arg108253,arg61449,arg108253_arg61449,rr,a707dfd4e89c2b0772c2068094ea6f,1
11,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",I used the appropriate equation,a1,arg61449,arg108271,arg61449_arg108271,rr,31443d2c46b275dc8d619925348c5f,-1
12,By using the charging equation ,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",a2,arg108350,arg61449,arg108350_arg61449,rr,9d9a2541f5086bf2dbb958d9100dd8,1
13,"The charge will be Q = V0 C (1 - e^(-t/T)) so after an infinite amount of time, the exponential part becomes negligible giving us Q = V0 C",e^-t becomes zero,a1,arg61449,arg108353,arg61449_arg108353,rr,e6f9a98ac9108f15c77c6a2ec2153f,-1
