,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"time constant=RC, where R=5R, C=5C","The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",a2,arg107876,arg61540,arg107876_arg61540,rr,f906081ec90b99ecccceeb9eaf3715,1
1,"The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC","tau = RC, and the resistors are in series, and capacitors in parallel so we can sum each",a1,arg61540,arg108053,arg61540_arg108053,wr,6e9d026b7164c4df53ea13646f0ef4,-1
2,using the formulas and seeing what's in parallel and whats in series,"The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",a2,arg108167,arg61540,arg108167_arg61540,rr,2b1a2b68263b9afe8a76cff9983aa8,1
3,"The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC","equivalent resistance=5R

equivalent capacitance=5C

So time constant =25*R*C",a1,arg61540,arg108457,arg61540_arg108457,rr,11f1a8875488de92d068d9568ca86d,-1
4,"The equivalent capacitance, given the 5 in parallel, is 5C. The equivalent resistance, given the 5 in series, is 5R. Using the formula, time constant obtained is 25RC.","The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",a2,arg108579,arg61540,arg108579_arg61540,rr,5a65fed8097eb5c26e96089352a6bc,1
5,"The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",following rules for equiv resistance and capacitance,a1,arg61540,arg108718,arg61540_arg108718,rr,0197e8fd36c25870af9914a6695063,-1
6,"Ceq=5C. Req=5R, so time constant is 25RC","The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",a2,arg108835,arg61540,arg108835_arg61540,rr,0ad0f606e27040c505b9d65a3a8266,1
7,"The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",Because time constant is equal to Req*Ceq,a1,arg61540,arg108853,arg61540_arg108853,rr,712976bfa20924574442c60b7539d4,-1
8,"resistance=5R
capacitance=5C
time constant =25*R*C","The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",a2,arg108874,arg61540,arg108874_arg61540,rr,31a56220550c74e9f5f98adf666e0f,1
9,"The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",resistors in series add up. capacitors in parallel at up. 5 times 5 is 25.,a1,arg61540,arg108941,arg61540_arg108941,rr,884debf95cc0a5bf99880054dfee9e,-1
10,Req is 5R and Ceq is 5C. Time constant is ReqxCeq so it is 25RC.,"The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC",a2,arg108959,arg61540,arg108959_arg61540,rr,27dbf9b08846ea5211410ff653cb71,1
11,"The total capacitance is the sum of capacitance in parallel, so 5C. The total resistance is the sum of resistance in series, so 5R. Then, T = RC which is now 25 RC","equivalent resistance=5R
equivalent capacitance=5C
So time constant =25*R*C",a1,arg61540,arg108974,arg61540_arg108974,rr,fab821d5570fb19559ebed57bfa414,-1
