,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,two lenses,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg127467,arg94141,arg127467_arg94141,rr,ad3b8e552df69a50fe67b42f7b70bd,1
1,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",Two lens system,a1,arg94141,arg127468,arg94141_arg127468,rr,f25052a7788fbbb891a39d524ef6c3,-1
2,at the end of the slides,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg127564,arg94141,arg127564_arg94141,rr,ff66f9b89b87259f5353e30a304c72,1
3,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",multiply magnifications of the two lenses to get the total magnification,a1,arg94141,arg128032,arg94141_arg128032,rr,49ab6955e82103dceffcc20dbc3767,-1
4,"m = -di/do
m = -76/60","The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128091,arg94141,arg128091_arg94141,wr,951b634c1e6c8efcc64b5934edfb01,1
5,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",based on,a1,arg94141,arg128109,arg94141_arg128109,rr,e2e3fcd9765735150359e4673ea348,-1
6,"Find each magnification, multiply them?","The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128185,arg94141,arg128185_arg94141,wr,8a8b41b780fd6a0f1f708afa0e273a,1
7,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",m1 = -do1/di1 = -1.267. do2 = 70cm - 76cm = -6cm. di2 = (f2)(do2) / (do2-f2) = 8.5714. m2 = -di2/do2 = 1.4286. m = m1 x m2 = -1.81.,a1,arg94141,arg128193,arg94141_arg128193,wr,4feaebb447b99f8dec5bfb3532042a,-1
8,i guess,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128269,arg94141,arg128269_arg94141,wr,2183449d867b806af06cb4a1fc6cd5,1
9,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2","Using the formula for magnification, we plug in the values and get mag=2",a1,arg94141,arg128272,arg94141_arg128272,rr,fcfda819c48edfa7d1700fd21ae587,-1
10,"taking do = 60, the original distance and di = the final image distance.
plug in the formula m = - di/ do","The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128284,arg94141,arg128284_arg94141,wr,4ade896fe60f28ac6df5761fb79095,1
11,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2","we do the calculations twice, for each lens",a1,arg94141,arg128309,arg94141_arg128309,rr,8943f59ad21378965ff8f104860fbb,-1
12,using equations,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128321,arg94141,arg128321_arg94141,rr,754a94af492f5a2a02564805a0c5eb,1
13,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",Based on combining lenses note,a1,arg94141,arg128361,arg94141_arg128361,rr,c4c4d81a8a4ea6297c4c11e5ae3b42,-1
14,solve for di1 and di2,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128556,arg94141,arg128556_arg94141,rr,971d35ac2e64dc455547403654e570,1
15,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",the case,a1,arg94141,arg128623,arg94141_arg128623,rr,7d74aafc6f4143740a99ce570485df,-1
16,multiply the magnifications for each lens,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128648,arg94141,arg128648_arg94141,rr,3962319de8a4da9a4d63bd889e1904,1
17,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",find m1 and m2 and multiply them together,a1,arg94141,arg128650,arg94141_arg128650,wr,acddc4721f00de312d711ba5bc6120,-1
18,not sure,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128708,arg94141,arg128708_arg94141,wr,7a1a14181dff82a5757531cd6a7416,1
19,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",formula- m1*m2 = mtotal,a1,arg94141,arg128751,arg94141_arg128751,rr,2712dfe59e3a387aa473f6269727f8,-1
20,Assuming total magnification,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128819,arg94141,arg128819_arg94141,wr,3b1afa3897ec702094f2c3852c5776,1
21,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",according to formula,a1,arg94141,arg128831,arg94141_arg128831,rr,8395773f45d7ef631e74a152a7e8d1,-1
22,Adding together both -di/do expressions to solve for final magnification.,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128858,arg94141,arg128858_arg94141,rr,6f3e1a38b42392dca71ac84b89b818,1
23,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",according to the formula,a1,arg94141,arg128892,arg94141_arg128892,rr,6969642f2a72a5f33c32a98b0b9d3e,-1
24,by calculation,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128903,arg94141,arg128903_arg94141,wr,a0cd456c0cddb1953373e34c169a1d,1
25,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",Magnification formula,a1,arg94141,arg128922,arg94141_arg128922,rr,497412b999c900817683b7285d7645,-1
26,Its 2,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128926,arg94141,arg128926_arg94141,rr,2d292e0559f5aac3fc7e9ce4031de1,1
27,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",converge lense formula,a1,arg94141,arg128927,arg94141_arg128927,rr,b4a4743ac53c4aa6e8a7e1d32c0a87,-1
28,using formula,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg128996,arg94141,arg128996_arg94141,rr,a034ef66c8af607414f6798264a5ee,1
29,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",1/d01 +1/di1 =1/f1,a1,arg94141,arg129021,arg94141_arg129021,rr,81321f84bd424d3514ec0ab2c0aca2,-1
30,Use the formula,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129044,arg94141,arg129044_arg94141,rr,ef3da73f45e56dc4f85c77ab03bf43,1
31,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2","di1=1/25-1/60= ...
m1= di1/do1
di2= 1/20-1/70-di1=...
m2=di2/do2
m1*m2= 1.98",a1,arg94141,arg129171,arg94141_arg129171,rr,5a7b8d2b226cedd8c8e83968f072d0,-1
32,hell yea,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129178,arg94141,arg129178_arg94141,rr,74575410a1b0611bd17eca7d306d52,1
33,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2","to find the magnification of the final image, m=-di/d0=146/60=2.",a1,arg94141,arg129201,arg94141_arg129201,rr,36a947e102f9902556c7a044125717,-1
34,"image 1: m = -di/do = -42.86/60 = -0.7143
image 2: m = -di/do = -76/27.14 = -2.800
M= M1M2 = -0.7143*-2.88=2","The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129202,arg94141,arg129202_arg94141,rr,fae82d8f6064350ce8b8c32942fbc4,1
35,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",idk idk,a1,arg94141,arg129211,arg94141_arg129211,rr,50651c5a40bc6733a9cddacc7a1ac8,-1
36,mirror equation,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129221,arg94141,arg129221_arg94141,rr,37253c50abffa447480d37cb20f7d7,1
37,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",multiply magnification,a1,arg94141,arg129234,arg94141_arg129234,rr,e6f9a98ac9108f15c77c6a2ec2153f,-1
38,It is a guess,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129277,arg94141,arg129277_arg94141,rr,31a56220550c74e9f5f98adf666e0f,1
39,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",m = -di/do,a1,arg94141,arg129296,arg94141_arg129296,rr,c189feb3f4447bdd81273920abd2a9,-1
40,by using the mirror equations twice,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129315,arg94141,arg129315_arg94141,rr,cbb8cd75da74f497c581834e34b5a8,1
41,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",use equation twice,a1,arg94141,arg129316,arg94141_arg129316,rr,0bfbcb4ca46aae369c7ad5697b8d9f,-1
42,Find magnification from each mirror and multiply together,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129319,arg94141,arg129319_arg94141,rr,b54392bfcfc57fe1a0c5f3d7111040,1
43,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",use the formula,a1,arg94141,arg129333,arg94141_arg129333,rr,31b2dacd0db9fe62862d534d9386a1,-1
44,is the given di for 1 or 2? kind of confusing that this was added,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129417,arg94141,arg129417_arg94141,wr,bced035743d174fc1895f88aa7b95f,1
45,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2","Heck if I know.

M = -di/do
1/f = 1/di + 1/do",a1,arg94141,arg129434,arg94141_arg129434,rr,f22066281a3b471d67a02f5f54c544,-1
46,"1/do+1/di=1/f
di=42.86cm
do2=27.14cm
1/di2+1/do2=1/f2
di2=76cm
m1=-di/do=-0.714
m2=-di2/do2=-2.8
m=m1*m2=2","The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129489,arg94141,arg129489_arg94141,rr,a4efbb59c3f3cc914065e25300dae6,1
47,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",By calculations,a1,arg94141,arg129528,arg94141_arg129528,rr,818a9a04e5e57b2a102eefd364c138,-1
48,using the lens equation. d11 = d02,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129588,arg94141,arg129588_arg94141,rr,3628c47b39b066ae3a2562d019c701,1
49,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",answer is c,a1,arg94141,arg129603,arg94141_arg129603,rr,3ab46143c5869f532e0a898432ee0c,-1
50,2 is wrong,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129613,arg94141,arg129613_arg94141,wr,39d7a5ba2888c855868c6d272bc06c,1
51,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",based on equation,a1,arg94141,arg129625,arg94141_arg129625,rr,0319b33682faaebaa280b6347f034a,-1
52,"use the do and di from both lenses to find the magnification of each lens. Then use mtot=mamb, which gives positive 2.","The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129635,arg94141,arg129635_arg94141,rr,f42e3beb6d79465220551491ce334b,1
53,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",answer C,a1,arg94141,arg129649,arg94141_arg129649,rr,3c24f7e56fd26cf5d667902203a6bc,-1
54,I'm not sure,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",a2,arg129696,arg94141,arg129696_arg94141,rr,9c0c822100dfc0e658f25fb211d101,1
55,"The total final magnification is just m = m1 x m2 where m1 = -42.86/60 = -0.714 and m2 = -76/27.14 = -2.8, so m = 2",use the formula,a1,arg94141,arg129706,arg94141_arg129706,rr,c33171bec06d038b55d524268f2173,-1
