,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,voltage is constant. so and increased resistance would decrease the current.,R1 and R3 are on opposite sides of R2s wire. R2 splits the current but it rejoins at the top so R1 and R3 get the same amount.,a2,arg221639,arg41334,arg221639_arg41334,ww,31f6953d629956b0f4de6111e1f0d4,1
1,R1 and R3 are on opposite sides of R2s wire. R2 splits the current but it rejoins at the top so R1 and R3 get the same amount.,all parallel and the current splits but comes back so it is equal,a1,arg41334,arg222678,arg41334_arg222678,ww,ea6c0f7c42dbdc5b8dfab2e30f56dc,-1
2,"I= V/R. The resistance and the voltage are the same -- voltage doesn't change, therefore the current will be the same for both resistors.",R1 and R3 are on opposite sides of R2s wire. R2 splits the current but it rejoins at the top so R1 and R3 get the same amount.,a2,arg224613,arg41334,arg224613_arg41334,ww,0036b5e34272d4c67bdfcf8bdd7f32,1
3,R1 and R3 are on opposite sides of R2s wire. R2 splits the current but it rejoins at the top so R1 and R3 get the same amount.,I1 is equal to I3 because they are equal due to the formula I =1,a1,arg41334,arg227227,arg41334_arg227227,ww,93982a45016ff35a93c1ac38682b09,-1
4,It is I1 = I3 since the current passing through R1 cis the same as the one passing through R3.,R1 and R3 are on opposite sides of R2s wire. R2 splits the current but it rejoins at the top so R1 and R3 get the same amount.,a2,arg227267,arg41334,arg227267_arg41334,ww,9f54143f49cd94db2a9c73820d444c,1
5,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3","According to KVL, I1= I2+I3. So I1 must bigger than I3.",a1,arg221814,arg221875,arg221814_arg221875,rr,1c85fe6d97ecc03d02c5ecaaf04953,-1
6,All current passes through R1. Not as much passes through R3.,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3",a2,arg222020,arg221814,arg222020_arg221814,rr,f2d811620a24357b260ab54daa2e04,1
7,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3",Three identical resistors are connected to a battery as shown. How does the current passing through R1 compare with that passing through R3?,a1,arg221814,arg222205,arg221814_arg222205,rr,6ec83f8e2c1e607b12d6db4c4584fe,-1
8,"for the current to go towards R3 it has to split into two paths to reach R2 as well. However for R1, the current does not split and hence I1>I3","The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3",a2,arg222855,arg221814,arg222855_arg221814,rr,be73ae336e828897b70aec2e3975a2,1
9,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3","Since R1 and R3 are connected in series, the current flowing through them is the same.",a1,arg221814,arg222943,arg221814_arg222943,wr,1803402320a6184492cc7b7a30ac06,-1
10,Because R2 and R3 are in parallel so the current is already lower than what is passing through R1.,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3",a2,arg224428,arg221814,arg224428_arg221814,rr,54eb2abcef2269d63665b60acbc1ad,1
11,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3",Current in parallel branches add up to the current from the battery meaning that the current through R1 will split into the current through R2 and R3.,a1,arg221814,arg224590,arg221814_arg224590,rr,b94ac0566e9d05f1bc0c9499071d7e,-1
12,"Current would be greater at R1 because the potential energy would not have been dissipated as much, but after the charges pass through R1, some potential energy would have been lost, decreasing the value of V.","The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3",a2,arg224743,arg221814,arg224743_arg221814,rr,4104c6a0c85e7efa21e2aaa183b310,1
13,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3","The current passing through R1 must be equivalent to the sum of the current passing through R2 and R3. Therefore, the I1 must be larger than I3.",a1,arg221814,arg225559,arg221814_arg225559,rr,11a2d687188cb741ee7a660598cf0f,-1
14,Resistors are in parallel if their terminals are connected to the same two nodes. The equivalent overall resistance is smaller than,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3",a2,arg225583,arg221814,arg225583_arg221814,rr,aa4f22747c5e879a6fa36b18b99283,1
15,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3","The addition of the current of both R2 and R3 is equal to that of R1, making the current of R1 bigger than that of R3",a1,arg221814,arg225941,arg221814_arg225941,rr,5ec21eda6e86169ac0d02435c1f28b,-1
16,I which represents the current is split into I2 and I3 as R2 and R3 are connected in parallel. I2+I3 must be equal to I1 which means that I1>I3,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3",a2,arg226626,arg221814,arg226626_arg221814,rr,5335ddcb19e9ec8e5346f68bf29f2f,1
17,"The current pass through R1 equals to the total current. R2 and R3 are connected in parallel, so I1=I2+I3, so I1>I3","The current passing through R1 is the sum of the current passing through R2 and R3, so I1>I3.",a1,arg221814,arg226998,arg221814_arg226998,rr,6ce454e71f4b2c44757c077d6daa22,-1
