,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,This is true because the initial current (+I) is split into a sum of n currents of magnitude I/n and of direction opposite to the initial one (-). The total sum equals 0.,"The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ",a2,arg41776,arg41736,arg41776_arg41736,wr,7542dc86e6df27bcf9ea291d4f3d68,1
1,"The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ","The current ""around a battery"" is the same on both sides ( by around I mean on the wire that goes from and in to the battery) therefore when we get into the first node of a circuit the current will be the same as the one out of the last node before the battery.",a1,arg41736,arg42056,arg41736_arg42056,rr,c90e39e50533d8b0ac97d500821962,-1
2,"The current going in must equal the current going out, because the charge flowing out of the branches must equal the charge flowing in.","The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ",a2,arg42263,arg41736,arg42263_arg41736,rr,f9732318b8940f33c4d4224a74152e,1
3,"The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ",current is not lost when entering the junction. Thus current that initially enters the junction will come out with the same amount.,a1,arg41736,arg230647,arg41736_arg230647,rr,ab39b5246062e13ec65aff0d2c581a,-1
4,"Charge cannot be created or destroyed, so input = output, otherwise there will be a jam.","The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ",a2,arg230868,arg41736,arg230868_arg41736,rr,1c85fe6d97ecc03d02c5ecaaf04953,1
5,"The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ","Junctions indicate that the circuit becomes parallel, and for this particular section the current must be the same.",a1,arg41736,arg231588,arg41736_arg231588,rr,5da3c25ba1d86613cfb48d7f7e12d8,-1
6,"Using the equation I=I1+12+... where I is the current going into the junction and I1, I2,... is the current going out of the junction, it is possible to see that they are equal going in and out.","The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ",a2,arg231706,arg41736,arg231706_arg41736,rr,ed6b1d3cce11fcb7a52bba2f8a67e2,1
7,"The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ","Since I(1) = I(2) + I(3), that can be rearranged to bring I(1) - I(2) - I(3) = 0",a1,arg41736,arg232309,arg41736_arg232309,wr,371badc3fa5560cbb59eb99a029192,-1
8,the sum of the magnitudes of the currents directed into a junction equals the sum of the magnitudes of the currents directed out of the junction,"The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ",a2,arg232752,arg41736,arg232752_arg41736,rr,3dfb9bff147f5b491e3b647d9d1eda,1
9,"The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ",The sum of the currents entering a junction equals the sum of the currents leaving that junction,a1,arg41736,arg232841,arg41736_arg232841,rr,5cd8807ae9ca1e2bead986d43cff35,-1
10,Kirchoff's junction split rule states that the sum of currents entering is equal to the sum of currents leaving a junction,"The junction rule states that the sum of the currents at a junction must equal zero. Therefore, the current flowing into a junction should cancel out the current flowing out of the junction. The two values are thus equal. ",a2,arg233114,arg41736,arg233114_arg41736,rr,f2d811620a24357b260ab54daa2e04,1
