,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
0,"If X is positive and it attracts ball Y, ball Y must be negatively charged because opposite charges attract.","Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,",a2,arg65665,arg65658,arg65665_arg65658,rr,0197e8fd36c25870af9914a6695063,1
1,"Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,","since ball X is positively charged, Y is negatively charged because it is attracted to ball X",a1,arg65658,arg65722,arg65658_arg65722,rr,f860c8d568631d5ba9181068f55903,-1
2,Because the opposite charges attract one another so the ball Y must be negative since the ball X is positively charged,"Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,",a2,arg66406,arg65658,arg66406_arg65658,rr,df47942b1dee3230cf65e14cc0b36b,1
3,"Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,",The charge with different sign attract each other ,a1,arg65658,arg66494,arg65658_arg66494,rr,5b965c4c4a214c00e25f6df4f97fd0,-1
4,Opposites charges attract and like charges repel.,"Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,",a2,arg66807,arg65658,arg66807_arg65658,rr,e70aec2fd055042c3f737bfbdb42de,1
5,"Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,",opposites attract ,a1,arg65658,arg66871,arg65658_arg66871,rr,31b2dacd0db9fe62862d534d9386a1,-1
6,opposite charges attract,"Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,",a2,arg66894,arg65658,arg66894_arg65658,rr,7d74aafc6f4143740a99ce570485df,1
7,"Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,","In this question, there are two correct answers which are A and D. If the balls have same charges it will repel. However, if the balls have opposite charges it will attract.",a1,arg65658,arg67316,arg65658_arg67316,rr,1378c2c02b73a29cb82cad2f0a00a7,-1
8,"Opposites attract and as X is positive, Y must be negative. 

Option ""D"" should also be correct as like charges repel.","Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,",a2,arg67321,arg65658,arg67321_arg65658,rr,517144d8a3bae0e61bdf9445a63046,1
9,"Opposite charges attract, same charges repel. Since X is positively charged, if Y is attracted, Y is negatively charged. Z is repelled, so Z is positively charged,",like repels like and opposites attract hence if Y is attracted to X it must be negative and if Z is repelled from X it must be positive,a1,arg65658,arg67526,arg65658_arg67526,rr,dd1debfe2412035c5494224f8334b8,-1
